고객번호,A_sum지수,B_sum지수,C_sum지수,D_sum지수
00001,-0.7,3.5,5.199999999999999,0.0
00002,0.6,-1.7000000000000002,0.0,7.3
00003,1.5,1.2,0.3,0.0
00004,0.3,7.3,1.2999999999999998,0.0
00006,1.2999999999999998,1.0,-2.4,0.0
00007,-0.4,0.6,6.0,0.0
00008,0.3,4.3,4.0,0.0
00009,0.0,1.2,0.0,0.0
00010,0.8999999999999999,3.5,0.0,2.1
00011,-0.4,0.7999999999999999,-1.4,0.0
00012,1.6,0.6,0.0,7.6
00013,0.0,1.2999999999999998,5.3,0.0
00014,0.0,0.0,0.3,0.0
00015,-0.4,1.0,0.8999999999999999,0.0
00016,0.6,5.6,0.0,0.0
00017,0.3,2.6999999999999997,5.3,0.0
00018,-0.09999999999999998,-0.7000000000000002,5.8,0.0
00019,0.0,1.2,1.2,7.0
00020,0.3,1.5,4.3,0.0
00021,2.1,1.0,1.2,0.0
00022,-0.7,0.0,0.0,0.0
00023,0.3,-1.7000000000000002,-4.199999999999999,0.0
00024,5.9,1.0,0.0,6.0
00025,1.6,3.3,0.3,0.0
00026,-0.7,7.799999999999999,-3.5,2.1
00027,0.6,8.0,5.199999999999999,0.0
00028,2.8,1.0,1.2,0.0
00029,-0.4,1.2999999999999998,6.5,0.0
00030,1.2999999999999998,1.5,0.0,0.0
00031,0.6,1.2,1.2,5.0
00032,0.3,1.2999999999999998,0.0,0.0
00033,-1.2999999999999998,0.3,0.3,0.0
00034,0.0,1.5,-2.2,0.0
00035,0.3,0.6,0.0,2.1
00036,0.3,-3.2,2.5,0.0
00037,0.3,1.5,5.0,0.0
00038,0.0,0.6,0.3,0.0
00039,-0.4,0.0,3.0,0.0
00040,0.3,0.3,-4.199999999999999,0.0
00041,-0.7,1.2999999999999998,4.9,0.0
00042,0.7999999999999999,1.2999999999999998,2.1,0.0
00043,-2.4,1.0,-2.5,0.0
00044,0.3,1.2999999999999998,0.3,0.0
00045,0.3,1.2999999999999998,5.0,0.0
00046,-0.4,2.5,1.5,0.0
00047,0.3,0.3,-0.8999999999999999,0.0
00048,0.6,5.0,0.3,0.0
00049,0.6,-1.6,4.0,0.0
00050,0.0,2.0,1.2999999999999998,0.0
00051,-0.7,0.6,0.0,7.1
00052,0.0,1.2,0.6,0.0
00053,0.3,6.0,0.0,0.0
00054,-0.7,1.5,-3.5,1.7999999999999998
00055,5.0,4.3,0.3,0.0
00056,-0.4,1.5,3.3,0.0
00057,1.5,7.1,0.3,0.0
00058,0.0,-2.8,0.0,0.0
00059,0.0,2.1,-3.5,0.0
00060,1.2999999999999998,1.2999999999999998,4.3,0.0
00061,0.3,1.0,1.2999999999999998,0.0
00062,1.2999999999999998,0.3,6.5,0.0
00063,0.0,1.5,0.0,0.0
00064,1.5,-0.09999999999999998,4.0,0.0
00065,-0.4,0.6,1.5,0.0
00066,-0.7,1.2999999999999998,2.6999999999999997,0.0
00067,3.5999999999999996,1.2999999999999998,1.5,0.0
00068,0.20000000000000007,0.3,-3.5,0.0
00069,1.2,2.5,0.0,0.0
00070,0.3,1.2,3.3,0.0
00071,-3.5,1.0,0.4999999999999999,0.0
00072,0.7999999999999999,1.0,1.2,0.0
00073,0.0,1.1,-3.5,0.0
00074,-0.4,1.2999999999999998,2.8,0.0
00075,0.0,-2.8,-0.7,0.0
00076,0.6,-3.8999999999999995,0.6,0.0
00077,0.0,3.0,0.0,0.0
00078,0.6,0.8999999999999999,3.3,0.0
00079,0.0,0.6,1.5,0.0
00080,0.3,1.2999999999999998,0.3,0.0
00081,0.6,0.3,2.6999999999999997,0.0
00082,0.3,1.0,5.6,0.0
00083,1.2999999999999998,0.3,5.0,0.0
00084,-0.09999999999999998,1.3,1.5,0.0
00085,1.0,0.0,-3.5,8.1
00086,1.0,0.6,6.2,0.0
00087,-0.4,-2.0,1.2999999999999998,0.0
00088,0.3,0.3,6.2,0.0
00089,0.6,1.2999999999999998,1.0,1.5
00090,0.3,5.6,1.7999999999999998,0.0
00091,0.3,3.7,0.3,0.0
00092,0.0,1.0,-0.7,0.0
00093,0.3,0.0,1.5,0.0
00094,3.5999999999999996,2.1,1.7999999999999998,0.0
00095,0.3,1.0,0.3,-3.5
00096,0.3,6.0,0.0,0.0
00097,0.3,-2.0999999999999996,1.6,0.0
00098,0.0,0.6,0.0,1.5
00099,0.3,1.0,-1.2999999999999998,0.0
00100,1.2999999999999998,-0.4,-2.5,0.0
00101,0.0,1.2999999999999998,1.2,0.0
00102,-0.7,1.0,0.3,0.0
00103,1.7999999999999998,1.2999999999999998,0.3,0.0
00104,2.8,0.3,7.0,0.0
00105,6.6,0.3,1.5,0.0
00106,-0.7,7.799999999999999,-1.2999999999999998,0.0
00107,0.3,1.2,0.6,0.0
00108,0.3,7.799999999999999,3.0,0.0
00109,2.0,-0.20000000000000018,0.3,0.0
00110,0.0,1.2999999999999998,1.6,1.7999999999999998
00111,3.0,0.8999999999999999,0.3,0.0
00112,0.8999999999999999,1.2999999999999998,5.0,0.0
00113,-0.7,0.3,5.0,0.0
00114,-0.7,1.1,0.3,7.799999999999999
00115,0.6,0.0,1.7999999999999998,0.0
00116,-0.4,-1.7000000000000002,0.6,0.0
00117,0.3,6.3,0.0,3.3
00118,1.0,1.5,1.5,0.0
00119,0.6,-2.0,0.3,0.0
00120,0.0,0.6,1.5,0.0
00121,0.6,3.5,0.0,1.7999999999999998
00122,0.0,1.0,1.5,0.0
00123,8.3,0.6,1.2,0.0
00124,0.0,-2.2,1.5,3.0
00125,-0.4,0.6,5.0,0.0
00126,-0.09999999999999998,1.2999999999999998,-3.5,0.0
00127,0.3,6.0,2.4,0.0
00128,1.5,1.2999999999999998,-2.5,0.0
00129,6.5,1.0,-0.4,0.0
00130,-0.7,1.7999999999999998,2.1,0.0
00131,0.3,7.199999999999999,0.3,0.0
00132,1.1,0.3,-0.09999999999999998,0.0
00133,0.3,0.3,1.5,0.0
00134,0.3,2.8,1.5,0.0
00135,1.2999999999999998,1.7999999999999998,-2.5,0.0
00136,1.6,3.0,4.0,0.0
00137,0.6,3.9,0.0,0.0
00138,0.0,1.2999999999999998,0.0,0.0
00139,0.3,1.2999999999999998,6.0,2.1
00140,0.0,2.0,-3.2,0.0
00141,1.5,3.0,1.2999999999999998,0.0
00143,-2.2,1.0,0.0,1.5
00144,9.1,7.3,-1.4,0.0
00145,1.2999999999999998,-2.4,6.2,0.0
00146,-0.4,0.0,0.0,0.0
00147,-0.4,1.2999999999999998,1.5,0.0
00148,1.5,1.2,1.2999999999999998,0.0
00149,0.0,1.2999999999999998,0.4999999999999999,0.0
00150,-0.09999999999999998,0.3,0.0,0.0
00151,1.2999999999999998,0.3,2.6999999999999997,0.0
00152,0.0,1.5,-0.4,0.0
00153,0.3,2.1,1.2,-3.5
00154,0.6,1.6,-2.8,0.0
00155,0.3,7.799999999999999,1.5,0.0
00156,-0.4,1.5,1.2,0.0
00157,0.8999999999999999,1.5,0.0,-3.5
00158,0.6,2.8,-2.5,2.1
00159,0.6,1.0,5.0,0.0
00160,0.3,1.0,1.2,0.0
00161,-0.7,1.4,-2.8,0.0
00162,0.6,1.0,-2.9999999999999996,0.0
00163,0.3,3.0,1.0,3.5999999999999996
00164,0.3,7.0,4.6,0.0
00165,0.6,1.2999999999999998,1.2,0.0
00166,0.0,1.2999999999999998,1.2,0.0
00167,0.0,0.0,0.0,2.1
00168,0.6,5.3,1.2999999999999998,0.0
00169,1.7999999999999998,0.6,5.3,0.0
00170,9.3,1.2999999999999998,1.5,0.0
00171,0.0,0.3,0.4999999999999999,0.0
00172,0.3,2.0,1.5,0.0
00173,5.6,-2.9000000000000004,0.0,0.0
00175,1.9,1.0,1.2,0.0
