고객번호,패션잡화_하_방문지수
00001,0.19999999999999973
00002,1.8
00003,0.0
00004,1.4000000000000001
00006,3.6
00007,1.0
00008,-0.3999999999999999
00009,0.19999999999999996
00010,1.2000000000000002
00011,2.6
00012,0.19999999999999996
00013,0.6000000000000001
00014,0.6000000000000001
00015,1.6
00016,3.6
00017,-0.19999999999999973
00018,1.0
00019,-0.3999999999999999
00020,0.0
00021,-1.2000000000000002
00023,2.8000000000000003
00024,4.800000000000001
00025,3.4000000000000004
00026,0.0
00027,0.4
00028,0.19999999999999996
00029,-0.3999999999999999
00030,0.6000000000000001
00031,2.8000000000000003
00032,2.2
00033,1.4000000000000001
00034,-2.0
00035,1.2000000000000002
00036,2.4000000000000004
00037,0.19999999999999996
00038,3.0
00039,-0.19999999999999996
00040,2.8000000000000003
00041,1.4000000000000001
00042,1.6
00043,0.4
00044,2.6
00045,0.19999999999999996
00046,1.2000000000000002
00047,1.8
00048,1.4000000000000001
00049,1.0
00050,0.0
00051,-1.0000000000000002
00052,4.2
00053,0.8
00054,5.8
00055,-0.6000000000000001
00056,0.19999999999999973
00057,1.2000000000000002
00058,0.8
00060,0.0
00061,2.4000000000000004
00062,3.8
00063,2.8000000000000003
00064,0.0
00065,0.8000000000000003
00066,-0.8
00067,1.6
00068,1.2000000000000002
00069,0.4
00070,0.4
00072,1.0
00073,1.2000000000000002
00074,2.4000000000000004
00075,3.0
00076,-0.19999999999999973
00077,2.0
00078,1.0
00079,1.4000000000000001
00080,1.4000000000000001
00081,1.4000000000000001
00082,1.0
00083,3.2
00084,4.2
00085,1.2000000000000002
00086,4.0
00087,1.2000000000000002
00088,0.19999999999999996
00089,2.6
00090,1.8
00091,3.8000000000000007
00092,2.4000000000000004
00093,-0.20000000000000018
00094,4.800000000000001
00095,-0.6000000000000003
00096,-0.3999999999999999
00097,-0.3999999999999999
00098,-0.8
00099,1.2000000000000002
00100,0.3999999999999999
00101,-1.6
00102,0.19999999999999973
00103,1.2000000000000002
00104,0.4
00105,0.8
00106,0.19999999999999996
00107,2.4000000000000004
00108,-1.0
00110,1.4000000000000001
00111,1.4000000000000001
00112,2.6
00113,3.8000000000000007
00114,1.2000000000000002
00115,1.2000000000000002
00116,1.6
00117,0.4
00118,2.0
00119,-0.7999999999999998
00120,4.2
00121,3.2
00122,2.6
00123,-2.5999999999999996
00124,1.6
00125,0.8
00126,0.8
00127,1.0
00128,-0.19999999999999996
00129,1.8
00130,-1.0000000000000002
00131,1.2000000000000002
00132,-1.8000000000000003
00133,3.2
00134,2.2
00135,2.8000000000000003
00136,1.6
00137,-1.4000000000000004
00138,1.0
00139,3.2
00140,2.6
00143,0.8000000000000003
00144,2.8000000000000003
00145,1.8
00146,3.0
00147,3.2
00149,2.2
00150,2.4000000000000004
00151,0.0
00152,3.0
00153,0.4
00154,-0.19999999999999996
00155,-0.8
00156,-0.3999999999999999
00157,3.4000000000000004
00158,1.2000000000000002
00159,0.19999999999999996
00160,2.8000000000000003
00161,1.8
00162,1.2000000000000002
00163,1.2000000000000002
00164,-0.6000000000000001
00165,1.6
00166,0.19999999999999996
00167,-0.20000000000000018
00168,0.0
00169,0.8
00170,2.8000000000000003
00171,0.0
00172,1.4000000000000001
00173,2.2
00175,0.0
00176,3.8000000000000007
00177,0.8
00178,0.8
00179,2.4000000000000004
00180,0.8
00181,1.6
00182,1.0
00183,-0.3999999999999999
00184,2.2
00185,3.4000000000000004
00186,-0.3999999999999999
00187,-0.7999999999999998
00188,0.8
00189,1.0
