고객번호,의류_중_방문지수
00001,2.4000000000000004
00002,1.8
00004,1.8
00006,-0.6000000000000001
00007,0.19999999999999996
00008,0.8
00009,0.6000000000000001
00010,1.6
00011,2.0
00013,0.8
00014,-1.0000000000000002
00015,1.2000000000000002
00016,0.0
00018,4.4
00019,2.0
00020,1.8
00023,0.8
00024,0.4
00026,-1.0000000000000002
00027,1.8
00029,1.4000000000000001
00030,1.2000000000000002
00031,0.4
00034,-0.6000000000000001
00035,0.8
00036,0.4
00038,0.4
00040,4.4
00041,0.8
00044,0.6000000000000001
00045,3.8000000000000007
00046,1.0
00047,1.6
00049,1.0
00050,3.4000000000000004
00051,-1.2000000000000002
00052,-0.3999999999999999
00053,1.4000000000000001
00054,0.4
00056,-0.3999999999999999
00057,0.4
00058,0.8
00059,1.0
00060,2.4000000000000004
00061,2.4000000000000004
00062,2.4000000000000004
00065,1.2000000000000002
00066,-0.3999999999999999
00068,2.4000000000000004
00070,0.4
00073,0.19999999999999973
00074,-1.0000000000000002
00076,2.4000000000000004
00078,2.8000000000000003
00081,2.0
00082,0.4
00083,2.2
00084,0.8
00085,0.0
00086,1.2000000000000002
00087,2.8000000000000003
00089,-0.6000000000000003
00090,1.4000000000000001
00092,1.8
00093,1.2000000000000002
00094,1.2000000000000002
00095,1.4000000000000001
00096,1.0
00097,1.0
00098,0.8
00099,5.2
00100,3.4000000000000004
00102,2.0
00103,-0.8
00105,1.2000000000000002
00106,2.8000000000000003
00107,1.2000000000000002
00108,3.4000000000000004
00110,1.2000000000000002
00112,2.0
00113,1.2000000000000002
00114,2.4000000000000004
00115,0.4
00118,1.8
00119,2.2
00120,2.0
00121,0.4
00122,1.0
00124,4.6000000000000005
00125,0.4
00126,0.3999999999999999
00127,0.4
00130,1.6
00131,3.6
00132,0.4
00133,0.8
00134,1.2000000000000002
00136,2.8000000000000003
00137,2.4000000000000004
00138,2.8000000000000003
00139,1.4000000000000001
00145,3.8000000000000007
00146,5.4
00147,3.4000000000000004
00148,0.4
00150,1.0
00151,4.0
00152,1.2000000000000002
00153,0.8
00154,0.4
00155,5.6000000000000005
00156,-1.0000000000000002
00157,2.6
00158,1.0
00159,-0.3999999999999999
00160,0.4
00161,2.0
00162,1.6
00163,2.0
00164,1.2000000000000002
00165,1.8
00166,1.8
00167,2.4000000000000004
00168,2.8000000000000003
00171,2.4000000000000004
00172,0.8
00177,2.0
00178,-0.3999999999999999
00179,2.0
00180,0.8
00181,0.0
00182,1.8
00184,0.0
00186,5.0
00188,0.0
00189,3.8000000000000007
00190,0.8
00191,1.6
00192,0.4
00194,1.2000000000000002
00196,0.6000000000000001
00197,-1.0000000000000002
00198,2.4000000000000004
00199,1.0
00200,0.4
00201,0.8000000000000003
00202,1.6
00204,5.4
00205,0.4
00206,1.2000000000000002
00208,2.0
00209,1.2000000000000002
00210,0.4
00212,-0.3999999999999999
00214,0.4
00215,1.8
00216,0.8
00217,0.8
00218,2.8000000000000003
00219,1.0
00221,0.4
00222,0.6000000000000001
00223,-1.6
00224,2.4000000000000004
00225,0.0
00226,1.6
00228,1.0
00229,1.8
00230,0.6000000000000001
00231,0.8
00232,1.2000000000000002
00233,-0.8
00236,0.0
00237,0.0
00239,-0.20000000000000018
00240,1.4000000000000001
00241,2.6
00242,0.4
00243,2.0
00245,1.8
00246,3.0
00247,-0.8
00248,2.4000000000000004
00249,3.2
00250,-0.3999999999999999
00251,3.8000000000000007
00252,0.8
00253,-0.8
00254,0.19999999999999996
00255,0.4
00256,0.4
00258,3.0000000000000004
00259,0.6000000000000001
00261,0.0
00262,0.3999999999999999
00263,0.0
00265,0.6000000000000001
00266,2.4000000000000004
00267,3.0000000000000004
00268,-1.4000000000000004
00269,0.4
00270,0.0
00271,1.6
00272,0.0
00273,2.8000000000000003
00275,0.19999999999999996
00277,1.8
00279,2.0
00280,1.6
00281,4.800000000000001
00282,1.8
00283,2.6
00285,3.6
00289,0.8
00292,6.2
00294,2.6
00295,2.6
00296,-2.4000000000000004
00297,1.6
00298,3.2
00299,-2.4000000000000004
00301,-0.20000000000000018
00302,1.2000000000000002
00304,1.2000000000000002
00305,4.0
00306,5.0
00307,1.2000000000000002
00308,2.8000000000000003
00309,0.6000000000000001
00310,-0.6000000000000003
00311,0.4
00313,0.19999999999999996
00314,1.4000000000000001
00315,1.6
00316,1.6
00317,0.8
00318,3.8000000000000007
00319,1.6
00320,1.0
00321,0.6000000000000001
00322,0.0
00323,2.6
00324,3.2
00325,0.4
00326,4.4
00327,0.8000000000000003
00328,3.2
00329,0.8
