고객번호,신선식품_중_방문지수
00001,0.6000000000000001
00002,-1.2000000000000002
00003,2.8000000000000003
00004,1.6
00006,1.4000000000000001
00007,-0.3999999999999999
00008,1.8
00009,3.2
00010,0.8
00011,0.19999999999999996
00012,2.8000000000000003
00013,1.2000000000000002
00014,0.6000000000000001
00015,-0.3999999999999999
00016,0.0
00017,1.4000000000000001
00018,1.0
00019,0.8
00020,-1.4000000000000004
00021,1.8
00022,-1.4000000000000004
00023,-2.5999999999999996
00024,4.0
00025,0.3999999999999999
00026,1.2000000000000002
00027,1.6
00028,2.8000000000000003
00029,1.4000000000000001
00030,2.0
00031,0.8
00032,1.4000000000000001
00033,1.8
00034,-0.19999999999999996
00035,0.19999999999999996
00036,1.8
00037,1.0
00038,0.8
00039,1.8
00040,1.2000000000000002
00041,4.0
00042,2.0
00043,-0.19999999999999996
00044,1.6
00045,0.19999999999999996
00046,1.2000000000000002
00047,-0.8
00048,3.2
00049,-1.4000000000000004
00050,1.2000000000000002
00051,1.0
00052,1.2000000000000002
00053,1.6
00054,0.6000000000000001
00055,1.8
00056,0.6000000000000001
00057,0.0
00058,0.0
00059,0.19999999999999996
00060,2.0
00061,-0.19999999999999996
00062,2.2
00063,1.2000000000000002
00064,2.0
00065,-0.6000000000000003
00066,1.4000000000000001
00067,1.2000000000000002
00068,1.8
00069,2.4000000000000004
00070,-3.0
00071,-1.0000000000000002
00072,1.4000000000000001
00073,-0.3999999999999999
00074,3.4000000000000004
00075,-0.20000000000000018
00076,1.0
00077,0.4
00078,0.6000000000000001
00079,1.6
00080,0.8
00081,0.19999999999999996
00082,2.4000000000000004
00083,0.19999999999999996
00084,0.0
00085,1.8
00086,0.19999999999999996
00087,1.2000000000000002
00088,0.8
00089,1.4000000000000001
00090,3.4000000000000004
00091,1.4000000000000001
00092,0.8
00093,3.0
00094,4.4
00095,-0.3999999999999999
00096,0.8
00097,0.8
00098,-0.3999999999999999
00099,2.4000000000000004
00100,0.6000000000000001
00101,2.2
00102,1.4000000000000001
00103,1.6
00104,1.2000000000000002
00105,0.19999999999999996
00106,3.0
00107,2.0
00108,1.6
00109,1.6
00110,-0.19999999999999996
00111,0.6000000000000001
00112,3.4000000000000004
00113,-0.6000000000000001
00114,1.0
00115,1.6
00116,0.8
00117,0.0
00118,0.4
00119,-0.3999999999999999
00120,1.8
00121,2.4000000000000004
00122,2.8000000000000003
00123,0.6000000000000001
00124,0.6000000000000001
00125,-0.8
00126,2.0
00127,2.2
00128,1.2000000000000002
00129,3.8000000000000007
00130,0.4
00131,2.6
00132,-2.0
00133,1.0
00134,1.0
00135,-0.19999999999999996
00136,2.8000000000000003
00137,0.8
00138,0.6000000000000001
00139,0.6000000000000001
00140,-0.19999999999999996
00141,2.8000000000000003
00143,2.4000000000000004
00144,-2.4000000000000004
00145,0.8
00147,1.8
00148,2.2
00149,2.2
00150,1.8
00151,0.19999999999999996
00152,-2.4000000000000004
00153,-2.0
00154,2.8000000000000003
00155,-0.6000000000000001
00156,0.4
00157,1.4000000000000001
00158,2.2
00159,-0.3999999999999999
00160,1.8
00161,1.2000000000000002
00162,1.6
00163,2.2
00164,3.6
00165,3.2
00166,3.8000000000000007
00167,0.8
00168,1.2000000000000002
00169,1.6
00170,1.4000000000000001
00171,3.8000000000000007
00172,2.6
00173,1.2000000000000002
00175,0.0
00176,-1.0000000000000002
00177,-1.0000000000000002
00178,0.8
00179,0.8
00180,2.8000000000000003
00181,3.8000000000000007
00182,0.4
00183,-0.19999999999999996
00184,2.8000000000000003
00185,4.4
00186,0.4
00187,1.8
00188,0.8
00189,1.0
00190,1.8
00191,-0.6000000000000001
00192,2.2
00193,-1.2000000000000002
00194,0.8
00195,3.2
00196,2.6
00197,3.8000000000000007
00198,0.8
00199,4.0
00200,0.0
00201,-1.0000000000000002
00202,1.8
00203,1.4000000000000001
00204,2.6
00205,1.6
00206,1.8
00207,-0.8
00208,-0.3999999999999999
00209,0.6000000000000001
00210,1.2000000000000002
00211,0.19999999999999996
00212,0.0
00213,2.0
00214,-0.6000000000000001
00215,0.8
00216,0.4
00217,1.2000000000000002
00218,2.4000000000000004
00219,-1.0000000000000002
00220,-1.8000000000000003
00221,1.8
00222,0.3999999999999999
00223,-0.8
00224,-1.0000000000000002
00225,0.6000000000000001
00226,1.6
00227,1.8
00228,3.2
00229,0.8
00230,1.8
00231,0.19999999999999996
00232,1.8
00233,0.8
00234,2.2
00235,2.8000000000000003
00236,1.0
00237,0.4
00238,2.0
00239,1.2000000000000002
00240,1.0
00241,1.2000000000000002
00242,2.0
00243,1.8
00245,0.8
00246,2.4000000000000004
00247,0.4
00248,1.4000000000000001
00249,3.4000000000000004
00250,0.6000000000000001
00251,0.3999999999999999
00252,1.0
00253,1.2000000000000002
00255,0.0
00256,3.8000000000000007
00257,-0.19999999999999996
00258,0.19999999999999996
00259,-0.8
00260,0.19999999999999996
00261,0.19999999999999996
00262,1.6
00263,3.2
00264,-1.2000000000000002
00265,0.19999999999999996
00266,4.800000000000001
00267,-0.19999999999999996
00268,0.0
00269,1.4000000000000001
00270,0.19999999999999996
00271,1.2000000000000002
00272,3.0
00273,2.4000000000000004
00274,2.2
00275,0.19999999999999996
00276,0.6000000000000001
00277,1.6
00278,1.8
00279,-0.19999999999999996
00280,1.2000000000000002
00281,1.2000000000000002
00282,2.8000000000000003
00283,0.4
00284,-1.8000000000000003
00285,0.19999999999999996
00286,1.8
00287,3.0
00288,0.8
00289,2.8000000000000003
00290,3.0000000000000004
00291,1.2000000000000002
00292,-0.6000000000000003
00293,0.8
00294,0.6000000000000001
00295,0.4
00296,0.4
00297,3.6
00298,3.2
00299,0.8
00300,0.19999999999999996
00301,-2.0
00302,-0.6000000000000001
00303,2.4000000000000004
00304,-0.19999999999999996
00305,0.0
00306,0.8
00307,0.8
00308,1.4000000000000001
00309,2.8000000000000003
00310,0.8
00311,0.8
00312,0.8
00313,-0.19999999999999996
00314,1.2000000000000002
00315,1.2000000000000002
00316,-0.8
00317,-0.19999999999999996
00318,-0.8
00319,0.19999999999999996
00320,2.4000000000000004
00321,2.4000000000000004
00322,0.19999999999999996
00323,2.8000000000000003
00324,-0.19999999999999996
00325,0.6000000000000001
00326,2.2
00327,0.4
00329,0.6000000000000001
00330,7.200000000000001
00331,-0.8
00332,0.19999999999999996
00333,1.0
00334,3.2
00335,2.4000000000000004
00336,0.8
00337,2.0
00338,-1.4000000000000004
00339,1.2000000000000002
00340,0.8
00341,0.19999999999999996
00342,-0.8
00343,-0.3999999999999999
00344,-1.4000000000000004
00345,0.6000000000000001
00346,2.4000000000000004
00347,1.4000000000000001
00348,1.8
