고객번호,패션잡화_중_구매지수
00001,-1.2000000000000006
00002,3.2
00004,5.2
00006,2.4000000000000004
00007,4.2
00008,5.8
00009,0.0
00010,2.4000000000000004
00011,2.8000000000000003
00013,2.4000000000000004
00014,8.8
00015,6.000000000000001
00018,2.4000000000000004
00020,2.8000000000000003
00021,7.6000000000000005
00023,10.600000000000001
00024,7.4
00025,8.4
00026,-1.4000000000000004
00027,5.2
00029,-3.2000000000000006
00031,-1.2000000000000006
00032,2.4000000000000004
00034,2.8000000000000003
00035,2.8000000000000003
00036,2.4000000000000004
00038,7.000000000000001
00040,7.6000000000000005
00041,2.8000000000000003
00042,-1.8000000000000003
00044,5.6000000000000005
00045,0.0
00046,7.000000000000001
00047,6.000000000000001
00048,11.600000000000001
00049,2.8000000000000003
00050,5.6000000000000005
00051,6.000000000000001
00052,1.7999999999999998
00053,2.8000000000000003
00055,3.2
00056,2.4000000000000004
00057,2.4000000000000004
00058,2.8000000000000003
00060,6.2
00061,6.000000000000001
00062,-3.2000000000000006
00063,2.0
00065,2.4000000000000004
00066,9.0
00068,-4.2
00070,9.4
00072,6.000000000000001
00073,9.8
00074,-0.8000000000000007
00076,-0.8000000000000007
00077,6.000000000000001
00078,8.8
00079,8.600000000000001
00081,6.0
00082,8.8
00083,2.8000000000000003
00084,5.2
00086,5.6000000000000005
00087,5.2
00088,2.8000000000000003
00089,2.8000000000000003
00090,5.8
00091,2.4000000000000004
00092,5.8
00093,5.2
00094,8.4
00095,2.4000000000000004
00096,6.0
00097,2.4000000000000004
00099,-3.8000000000000007
00100,11.200000000000001
00102,2.4000000000000004
00103,2.0
00105,2.8000000000000003
00106,5.6000000000000005
00107,5.6000000000000005
00108,-0.40000000000000036
00110,2.8000000000000003
00112,9.8
00113,9.600000000000001
00114,2.4000000000000004
00115,5.6000000000000005
00118,5.6000000000000005
00119,-1.4000000000000004
00120,5.6000000000000005
00122,9.600000000000001
00124,8.8
00125,-3.6000000000000005
00126,2.4000000000000004
00127,0.0
00128,2.8000000000000003
00129,2.4000000000000004
00130,-1.4000000000000004
00131,2.8000000000000003
