고객번호,의류_하_구매지수
00001,0.4
00002,0.8
00003,2.4000000000000004
00004,1.4000000000000001
00006,1.4000000000000001
00007,0.8
00008,0.6000000000000001
00009,3.6
00010,8.4
00011,-1.5999999999999996
00012,5.2
00013,1.8
00014,4.800000000000001
00015,-3.0000000000000004
00016,3.6
00017,3.2000000000000006
00018,2.8000000000000003
00019,3.4000000000000004
00020,2.8000000000000003
00021,8.4
00023,5.4
00024,6.800000000000001
00025,-0.40000000000000036
00026,0.19999999999999996
00027,3.8
00028,-1.0
00029,1.4000000000000001
00030,0.8
00031,1.6
00032,2.0
00033,3.6
00034,6.0
00035,0.8
00036,8.4
00037,3.2
00038,0.19999999999999996
00039,0.19999999999999973
00040,0.8
00041,-0.5999999999999996
00042,-2.0000000000000004
00043,4.0
00044,7.200000000000001
00045,0.0
00046,3.0
00047,0.4
00048,0.4
00049,-1.2000000000000006
00050,5.2
00051,0.8
00052,-3.4000000000000004
00053,5.8
00054,-0.19999999999999973
00055,-1.0
00056,0.8
00057,4.4
00058,-0.5999999999999996
00059,6.000000000000001
00060,0.8
00061,0.4
00062,1.2000000000000002
00063,8.4
00064,-1.4
00065,1.2000000000000002
00066,1.8
00067,0.0
00068,0.8
00069,3.0
00070,0.19999999999999996
00071,7.4
00072,1.4000000000000001
00073,0.8
00074,0.19999999999999996
00075,-0.3999999999999999
00076,0.8
00077,1.4000000000000001
00078,-0.19999999999999996
00079,2.4000000000000004
00080,2.0
00081,3.6
00082,0.19999999999999996
00083,0.0
00084,-0.6000000000000001
00085,0.8
00086,3.8
00087,10.8
00088,9.0
00089,1.4000000000000001
00090,-3.2000000000000006
00091,3.0
00092,1.0
00093,-2.4000000000000004
00094,5.8
00095,0.4
00096,5.8
00097,1.0
00098,0.4
00099,0.0
00100,0.8
00101,8.4
00102,-0.3999999999999999
00103,2.4000000000000004
00104,7.0
00105,-0.19999999999999973
00106,0.8
00107,0.19999999999999996
00108,-0.19999999999999996
00109,1.0
00110,1.4000000000000001
00111,-3.0
00112,1.8
00113,1.0
00114,7.4
00115,-1.2000000000000006
00116,5.4
00117,4.800000000000001
00118,1.2000000000000002
00119,0.8
00120,3.2
00121,0.0
00122,1.4000000000000001
00123,2.4000000000000004
00124,0.8
00125,0.4
00126,3.2
00127,-3.2000000000000006
00128,2.8000000000000003
00129,2.4000000000000004
00130,0.4
00131,1.8
00132,1.4000000000000001
00133,7.200000000000001
00134,0.6000000000000001
00135,1.4000000000000001
00136,3.2
00137,0.8
00138,0.4
00139,3.8
00140,5.8
00143,3.8000000000000007
00144,8.4
00145,3.2
00146,0.4
00147,6.6000000000000005
00148,2.0
00149,7.4
00150,3.2
00151,1.8
00152,1.4000000000000001
00153,2.2
00154,-1.6000000000000005
00155,1.4000000000000001
00156,0.8
00157,2.8000000000000003
00159,0.4
00160,6.800000000000001
00161,-1.4000000000000004
00162,1.4000000000000001
00163,5.4
00164,7.4
00165,0.19999999999999996
00166,7.800000000000001
00167,3.8
00168,0.8
00169,3.8
00170,-0.19999999999999973
00171,0.4
00172,1.1999999999999993
00173,0.8
00175,8.4
00176,2.4000000000000004
00177,1.8
00178,4.4
00179,0.4
00180,2.0
00181,0.8
00182,9.8
00183,-2.5999999999999996
00184,-1.4000000000000004
00185,7.0
00186,2.6000000000000005
00187,3.2
00188,1.0
00189,7.4
00190,0.19999999999999996
00191,1.0
00192,0.19999999999999996
00193,1.8
00194,0.8
00195,-0.6000000000000001
00196,1.8
00197,-0.19999999999999996
00198,2.2
00199,-1.4
00200,4.4
00201,3.2
00202,1.8
00203,0.8
00204,0.4
00205,1.8
00206,-3.6000000000000005
00207,4.2
00208,0.8
00209,1.2000000000000002
00210,3.4000000000000004
00211,-1.6000000000000005
00212,-1.0
00213,2.2
00214,-2.4000000000000004
00215,1.0
00216,6.4
00217,4.4
00218,7.4
00219,2.8000000000000003
00220,3.8
00221,1.0
00222,1.4000000000000001
00223,7.800000000000001
00224,0.8
00225,0.8
00226,2.8000000000000003
00227,4.0
00228,2.8000000000000003
00229,3.2
00230,4.6000000000000005
00231,4.4
00232,2.4000000000000004
00234,-2.2
00235,3.6
00236,6.000000000000001
00237,6.000000000000001
00238,7.800000000000001
00239,2.8000000000000003
00240,0.8
00241,1.4000000000000001
00242,0.4
00243,3.8
00245,8.8
00246,-3.4000000000000004
00247,6.4
00248,1.0
00249,3.2
00250,0.4
00251,0.0
00252,-1.2000000000000006
00253,-0.19999999999999996
00254,1.4000000000000001
00255,-0.19999999999999996
00256,0.8
00257,0.19999999999999996
00258,5.4
00259,-0.3999999999999999
00260,2.4000000000000004
00261,0.4
00262,5.2
00263,2.2
00264,2.0
00265,1.2000000000000002
00266,-0.40000000000000036
00267,5.2
00268,1.4000000000000001
00269,0.8
00270,5.4
00271,1.8
00272,0.19999999999999996
00273,2.4000000000000004
00274,8.0
00275,1.8
00276,2.4000000000000004
00277,0.4
00279,2.8000000000000003
00280,0.4
00281,2.8000000000000003
00282,1.4000000000000001
00283,-0.40000000000000036
00284,5.0
00285,0.8
00286,0.4
00287,0.19999999999999996
00288,3.8
00289,1.8
00290,0.4
00291,0.3999999999999999
00292,3.2
00293,7.000000000000001
00294,3.2
00295,7.200000000000001
00296,-0.8
00297,6.800000000000001
00298,3.4000000000000004
00299,2.0
00300,0.19999999999999996
00301,0.8
00302,0.8
00303,3.2
00304,10.400000000000002
00305,0.4
00306,0.4
00307,0.19999999999999996
00308,2.8000000000000003
00309,0.6000000000000005
00310,1.0
00311,0.8
00312,2.4000000000000004
00313,0.4
00314,0.4
00315,2.2
00316,0.4
00317,-2.8000000000000007
00318,2.2
00319,2.8000000000000003
00320,0.4
00321,0.4
00322,0.8
00323,2.4000000000000004
00324,1.0
00325,5.2
00326,0.4
00327,0.4
00328,1.8
00329,1.2000000000000002
00330,3.6
00331,2.8000000000000003
00332,-0.6000000000000001
00333,2.8000000000000003
00334,1.2000000000000002
00335,0.0
00336,0.19999999999999996
00337,1.0
00338,0.19999999999999996
00339,1.2000000000000002
00340,-0.19999999999999996
00341,7.800000000000001
00342,2.0
00343,2.2
00344,2.0
00345,1.2000000000000002
00346,3.2
00347,1.2000000000000002
00349,1.2000000000000002
00350,1.2000000000000002
00351,-0.6000000000000001
00352,0.4
00353,4.0
00354,4.800000000000001
00355,-2.4000000000000004
00356,0.4
00357,-2.8000000000000007
00358,2.2
00359,-0.19999999999999996
00360,0.19999999999999996
00361,3.2
00362,0.8
00363,1.2000000000000002
00364,5.2
00365,1.0
00366,4.800000000000001
00367,-3.8000000000000007
00368,0.8
00369,0.4
00370,1.8
00371,-1.8000000000000003
00372,5.2
00373,3.2
00374,-0.19999999999999996
00375,3.2
00376,0.0
00377,7.000000000000001
00378,0.4
00379,0.4
00380,2.4000000000000004
00381,4.800000000000001
00382,2.6000000000000005
00383,1.2000000000000002
00384,7.4
00385,3.4000000000000004
00386,0.4
00387,0.4
00388,-0.19999999999999996
00389,3.8000000000000007
00390,2.4000000000000004
00391,3.8
00392,8.0
00393,0.4
00394,1.6
00395,1.8000000000000007
00396,0.8
00397,1.2000000000000002
00398,4.800000000000001
00399,6.2
00400,1.6
00401,0.0
00402,3.2
00403,2.4000000000000004
00404,0.4
00405,-0.19999999999999996
00406,0.8
00407,-1.0
00408,-2.8000000000000007
00409,1.2000000000000002
00410,-2.5999999999999996
00411,0.8
00412,0.19999999999999996
00413,0.4
00414,0.4
00415,2.2
00416,0.8
00417,0.19999999999999996
00418,0.4
00419,0.8
00420,1.4000000000000001
