고객번호,일상용품_하_구매지수
00001,-2.0000000000000004
00002,0.4
00003,3.4000000000000004
00004,0.8
00006,0.8
00007,1.4000000000000001
00008,6.000000000000001
00009,8.0
00010,0.4
00011,-2.2
00012,1.8
00013,-0.3999999999999999
00014,-0.19999999999999996
00015,0.8
00016,2.0
00017,3.4000000000000004
00018,0.8
00019,0.8
00020,-0.19999999999999996
00021,0.4
00022,1.6
00023,-1.2000000000000006
00024,0.4
00025,2.4000000000000004
00026,0.8
00027,4.4
00028,0.8
00029,1.4000000000000001
00030,0.0
00031,0.4
00032,1.0
00033,0.4
00034,-1.2000000000000002
00035,0.4
00036,0.19999999999999996
00037,8.600000000000001
00038,0.4
00039,1.8
00040,0.4
00041,3.6
00042,0.0
00043,0.4
00044,4.6000000000000005
00045,0.8
00046,-1.0
00047,-1.2000000000000002
00048,0.4
00049,-0.6000000000000001
00050,0.0
00051,-0.19999999999999996
00052,-0.19999999999999996
00053,5.0
00054,1.2000000000000002
00055,-0.19999999999999996
00056,0.4
00057,1.2000000000000002
00058,1.4000000000000001
00059,3.4000000000000004
00060,1.0
00061,1.2000000000000002
00062,1.8
00063,0.19999999999999996
00064,-2.2
00065,-0.19999999999999996
00066,0.4
00067,0.0
00068,6.4
00069,0.4
00070,5.6
00071,0.8
00072,1.0
00073,1.4
00074,-2.5999999999999996
00075,-0.19999999999999996
00076,3.0
00077,0.8
00078,0.8
00079,0.8
00080,-0.19999999999999996
00081,6.4
00082,-0.19999999999999996
00083,0.8
00084,-2.8000000000000007
00085,5.4
00086,0.8
00087,4.0
00088,0.4
00089,0.4
00090,2.4000000000000004
00091,-0.19999999999999996
00092,-0.19999999999999996
00093,8.2
00094,0.4
00095,1.4000000000000001
00096,0.4
00097,0.6000000000000001
00098,-1.4
00099,0.4
00100,-2.5999999999999996
00101,-0.8
00102,0.8
00103,0.6000000000000001
00104,0.4
00105,0.0
00106,0.4
00107,-0.19999999999999996
00108,0.8
00109,0.8
00110,0.4
00111,-0.19999999999999996
00112,1.4000000000000001
00113,1.4000000000000001
00114,0.8
00115,-3.2000000000000006
00116,0.0
00117,-0.19999999999999996
00118,4.4
00119,-0.19999999999999996
00120,-3.0
00121,5.8
00122,1.4000000000000001
00123,0.4
00124,1.8
00125,-3.2000000000000006
00126,1.2000000000000002
00127,2.8000000000000003
00128,0.8
00129,-0.3999999999999999
00130,1.4000000000000001
00131,0.8
00132,0.19999999999999996
00133,0.4
00134,3.2
00135,2.4000000000000004
00137,0.8
00138,0.4
00139,1.8
00140,-2.2
00141,0.0
00143,0.4
00144,0.4
00145,0.19999999999999973
00146,-1.4
00147,0.4
00148,0.4
00149,4.6000000000000005
00150,0.0
00151,0.4
00152,-1.2000000000000002
00153,0.8
00154,4.0
00155,0.8
00156,0.8
00157,0.8
00158,1.4000000000000001
00159,2.2
00160,-0.19999999999999996
00161,0.5999999999999996
00162,0.4
00163,0.0
00164,6.4
00165,4.6000000000000005
00166,6.4
00167,0.8
00168,1.8
00169,0.4
00170,0.0
00171,0.4
00172,1.4000000000000001
00173,0.0
00175,0.4
00176,0.8
00177,-3.2000000000000006
00178,0.4
