고객번호,의류_중_구매지수
00001,3.2
00002,4.800000000000001
00004,6.000000000000001
00006,-3.6000000000000005
00007,-1.8000000000000003
00008,2.8000000000000003
00009,-1.2000000000000002
00010,5.2
00011,7.6000000000000005
00013,2.4000000000000004
00014,-1.2000000000000006
00015,4.4
00016,0.0
00018,9.4
00019,6.000000000000001
00020,10.8
00023,4.800000000000001
00024,2.4000000000000004
00026,2.2
00027,8.4
00029,2.8000000000000003
00030,4.800000000000001
00031,2.0
00034,-3.6000000000000005
00035,5.2
00036,2.0
00038,2.0
00040,6.800000000000001
00041,2.4000000000000004
00044,-1.4000000000000004
00045,7.4
00046,6.000000000000001
00047,4.800000000000001
00049,6.000000000000001
00050,8.4
00051,-3.2000000000000006
00052,-1.2000000000000006
00053,9.0
00054,2.4000000000000004
00056,-0.8000000000000007
00057,2.4000000000000004
00058,2.8000000000000003
00059,6.000000000000001
00060,8.4
00061,2.4000000000000004
00062,6.000000000000001
00065,2.4000000000000004
00066,1.8
00068,3.4000000000000004
00070,2.0
00073,2.6000000000000005
00074,-0.8
00076,6.2
00078,5.6000000000000005
00081,6.800000000000001
00082,2.4000000000000004
00083,8.8
00084,0.4
00085,0.0
00086,4.800000000000001
00087,9.4
00089,-0.8000000000000007
00090,8.0
00092,6.4
00093,2.2
00094,2.8000000000000003
00095,8.4
00096,6.000000000000001
00097,7.000000000000001
00098,4.4
00099,9.200000000000001
00100,11.600000000000001
00102,6.000000000000001
00103,-0.5999999999999996
00105,2.8000000000000003
00106,7.2
00107,3.2
00108,8.4
00110,5.2
00112,5.6000000000000005
00113,0.8
00114,5.2
00115,2.8000000000000003
00118,3.2
00119,1.4000000000000001
00120,5.6000000000000005
00121,2.4000000000000004
00122,0.20000000000000018
00124,3.6
00125,2.4000000000000004
00126,-1.4000000000000004
00127,2.4000000000000004
00130,2.8000000000000003
00131,8.2
00132,2.4000000000000004
00133,4.800000000000001
00134,2.4000000000000004
00136,5.6000000000000005
00137,9.0
00138,3.2
00139,8.0
00145,9.8
00146,12.200000000000001
00147,0.8
00148,2.4000000000000004
00150,5.0
00151,7.4
00152,2.2
00153,2.8000000000000003
00154,2.0
00155,7.4
00156,-0.6000000000000005
00157,9.8
00158,6.000000000000001
00159,-0.19999999999999996
00160,2.4000000000000004
00161,5.000000000000001
00162,5.2
00163,7.000000000000001
00164,4.4
00165,1.4000000000000001
00166,3.4000000000000004
00167,9.4
00168,9.8
00171,2.8000000000000003
00172,4.800000000000001
00177,7.000000000000001
00178,-1.8000000000000003
00179,4.800000000000001
00180,2.4000000000000004
00181,4.2
00182,8.4
00184,-0.40000000000000036
00186,9.8
00188,0.0
00189,7.4
00190,5.2
00191,2.8000000000000003
00192,2.4000000000000004
00194,4.4
00196,0.20000000000000018
00197,-0.40000000000000036
00198,3.2
00199,1.5999999999999996
00200,2.4000000000000004
00201,-0.40000000000000036
00202,2.6000000000000005
00204,2.4000000000000004
00205,2.0
00206,4.4
00208,0.8
00209,3.8000000000000007
00210,2.0
00212,3.6
00214,2.8000000000000003
00215,9.4
00216,2.4000000000000004
00217,2.4000000000000004
00218,5.6000000000000005
00219,-1.4000000000000004
00221,2.4000000000000004
00222,4.2
00223,-1.4000000000000004
00224,1.8
00225,0.8
00226,5.2
00228,5.0
00229,10.8
00230,-1.2000000000000006
00231,2.4000000000000004
00232,2.4000000000000004
00233,-1.2000000000000006
00236,0.0
00237,0.0
00239,-3.8000000000000007
00240,8.4
00241,2.8000000000000003
00242,2.0
00243,6.000000000000001
00245,5.4
00246,1.8
00247,-0.8000000000000007
00248,2.8000000000000003
00249,10.8
00250,1.0
00251,9.8
00252,2.4000000000000004
00253,-0.6000000000000001
00254,-2.5999999999999996
00255,2.4000000000000004
00256,2.4000000000000004
00258,7.000000000000001
00259,2.0
00261,4.2
00262,-1.4000000000000004
00263,0.0
00265,0.4
00266,8.8
00267,6.000000000000001
00268,-1.2000000000000006
00269,2.0
00270,0.0
00271,2.8000000000000003
00272,1.5999999999999996
00273,8.8
00275,-0.8000000000000007
00277,0.6000000000000005
00279,5.6000000000000005
00280,3.6
00281,3.4000000000000004
00282,8.4
00283,3.4000000000000004
00285,9.4
00289,2.8000000000000003
00292,7.4
00294,3.2
00295,7.800000000000001
00296,-3.8000000000000007
00297,5.6000000000000005
00298,11.8
00299,-4.2
00301,3.0
00302,2.8000000000000003
00304,4.800000000000001
00305,6.4
00306,3.8
00307,0.8
00308,5.2
00309,1.8
00310,1.1999999999999993
00311,2.4000000000000004
