고객번호,의류_하_방문지수
00001,1.2000000000000002
00002,3.0
00003,0.4
00004,2.6
00006,4.2
00007,0.19999999999999996
00008,3.4000000000000004
00009,3.6
00010,3.2
00011,0.3999999999999999
00012,0.6000000000000001
00013,0.0
00014,2.0
00015,-1.7999999999999998
00016,1.2000000000000002
00017,-0.6000000000000003
00018,1.4000000000000001
00019,3.2
00020,2.2
00021,3.6
00023,3.6
00024,5.4
00025,3.4000000000000004
00026,0.3999999999999999
00027,5.0
00028,-0.6000000000000003
00029,2.2
00030,2.4000000000000004
00031,3.0
00032,0.4
00033,0.8
00034,2.8000000000000003
00035,1.2000000000000002
00036,2.8000000000000003
00037,1.2000000000000002
00038,0.0
00039,-0.8
00040,2.0
00041,-0.19999999999999996
00042,1.2000000000000002
00043,1.0
00044,5.4
00045,1.8
00046,1.6
00047,0.8
00048,0.0
00049,0.19999999999999996
00050,2.4000000000000004
00051,1.4000000000000001
00052,-1.2000000000000002
00053,1.0
00054,0.19999999999999996
00055,-0.3999999999999999
00056,0.3999999999999999
00057,2.0
00058,-0.19999999999999996
00059,1.4000000000000001
00060,2.4000000000000004
00061,-1.0000000000000002
00062,2.0
00063,2.6
00064,-0.19999999999999996
00065,1.4000000000000001
00066,3.0
00067,0.0
00068,1.4000000000000001
00069,1.6
00070,-1.4000000000000004
00071,1.4000000000000001
00072,3.4000000000000004
00073,1.4000000000000001
00074,0.8000000000000003
00075,-0.19999999999999996
00076,3.6
00077,3.2
00078,1.2000000000000002
00079,0.19999999999999996
00080,0.4
00081,2.8000000000000003
00082,1.4000000000000001
00083,0.19999999999999996
00084,-0.8
00085,0.8
00086,4.6000000000000005
00087,3.8000000000000007
00088,4.800000000000001
00089,2.6
00090,1.8
00091,1.4000000000000001
00092,2.4000000000000004
00093,-0.20000000000000018
00094,3.4000000000000004
00095,1.6
00096,2.8000000000000003
00097,0.8
00098,1.4000000000000001
00099,2.2
00100,2.4000000000000004
00101,1.4000000000000001
00102,1.0
00103,0.4
00104,1.8
00105,1.8
00106,1.2000000000000002
00107,0.19999999999999996
00108,1.2000000000000002
00109,0.0
00110,1.2000000000000002
00111,-0.19999999999999996
00112,2.4000000000000004
00113,1.8
00114,5.2
00115,0.0
00116,2.2
00117,0.8
00118,1.0
00119,2.6
00120,2.0
00121,1.6
00122,2.2
00123,0.19999999999999996
00124,2.2
00125,0.6000000000000001
00126,2.2
00127,-0.6000000000000003
00128,1.6
00129,0.4
00130,0.3999999999999999
00131,3.8
00132,2.2
00133,3.6
00134,1.6
00135,3.2
00136,3.2
00137,0.6000000000000001
00138,1.6
00139,4.4
00140,1.8
00143,1.0
00144,3.2
00145,1.2000000000000002
00146,0.19999999999999996
00147,3.2
00148,0.4
00149,3.8000000000000007
00150,2.6
00151,2.2
00152,3.4000000000000004
00153,0.3999999999999999
00154,-0.19999999999999996
00155,2.6
00156,2.0
00157,0.8000000000000003
00159,2.2
00160,6.0
00161,-0.5999999999999996
00162,2.6
00163,2.4000000000000004
00164,4.0
00165,1.8
00166,7.4
00167,1.6
00168,0.0
00169,1.4000000000000001
00170,-1.0000000000000002
00171,3.2
00172,1.0
00173,2.2
00175,3.8000000000000007
00176,0.8
00177,1.8
00178,1.6
00179,2.2
00180,0.4
00181,-0.3999999999999999
00182,3.2
00183,-1.0000000000000002
00184,-1.4
00185,2.4000000000000004
00186,1.0
00187,3.4000000000000004
00188,1.4000000000000001
00189,4.800000000000001
00190,1.6
00191,3.0000000000000004
00192,1.4000000000000001
00193,2.2
00194,-0.8
00195,-0.8
00196,1.8
00197,-0.3999999999999999
00198,2.0
00199,1.4000000000000001
00200,1.6
00201,1.8
00202,4.2
00203,0.19999999999999996
00204,0.6000000000000001
00205,0.8
00206,-1.0000000000000002
00207,2.4000000000000004
00208,2.4000000000000004
00209,1.6
00210,2.2
00211,-0.8
00212,-0.19999999999999996
00213,1.4000000000000001
00214,-0.6000000000000003
00215,3.2
00216,3.2
00217,1.2000000000000002
00218,3.6
00219,2.4000000000000004
00220,1.6
00221,1.4000000000000001
00222,3.2
00223,3.2
00224,1.2000000000000002
00225,1.2000000000000002
00226,0.8
00227,0.8
00228,4.0
00229,-0.3999999999999999
00230,2.8000000000000003
00231,1.2000000000000002
00232,0.6000000000000001
00234,1.4000000000000001
00235,2.2
00236,1.0
00237,2.4000000000000004
00238,3.2
00239,4.0
00240,0.19999999999999996
00241,1.6
00242,2.2
00243,2.6
00245,4.2
00246,0.0
00247,2.4000000000000004
00248,2.4000000000000004
00249,3.4000000000000004
00250,2.2
00251,4.6000000000000005
00252,-0.19999999999999996
00253,2.2
00254,2.0
00255,1.2000000000000002
00256,1.0
00257,0.8000000000000003
00258,5.6000000000000005
00259,-0.3999999999999999
00260,1.2000000000000002
00261,1.2000000000000002
00262,1.8
00263,1.6
00264,0.8
00265,1.8
00266,0.3999999999999999
00267,3.4000000000000004
00268,2.4000000000000004
00269,1.6
00270,2.6
00271,2.2
00272,-0.3999999999999999
00273,6.4
00274,3.6
00275,4.0
00276,0.8
00277,3.2
00279,2.4000000000000004
00280,0.8
00281,1.6
00282,2.6
00283,0.8000000000000003
00284,1.2000000000000002
00285,3.0
00286,1.2000000000000002
00287,0.6000000000000001
00288,2.6
00289,2.0
00290,3.2
00291,1.0
00292,5.2
00293,2.8000000000000003
00294,2.0
00295,4.4
00296,0.0
00297,3.2
00298,3.4000000000000004
00299,0.19999999999999973
00300,1.8
00301,2.0
00302,2.0
00303,2.8000000000000003
00304,2.8000000000000003
00305,1.6
00306,1.8
00307,1.0
00308,3.0
00309,0.6000000000000001
00310,1.8
00311,0.3999999999999999
00312,0.8
00313,0.8
00314,0.6000000000000001
00315,3.6
00316,2.2
00317,-1.0000000000000002
00318,2.0
00319,1.0
00320,0.8
00321,1.2000000000000002
00322,2.4000000000000004
00323,5.2
00324,3.2
00325,1.6
00326,3.0
00327,2.2
00328,4.4
00329,1.6
00330,1.6
00331,1.0
00332,2.0
00333,2.4000000000000004
00334,3.8
00335,1.4000000000000001
00336,-0.6000000000000003
00337,3.2
00338,1.4000000000000001
00339,1.0
00340,1.0
00341,3.8000000000000007
00342,1.8
00343,0.19999999999999996
00344,2.8000000000000003
00345,1.2000000000000002
00346,3.0
00347,1.4000000000000001
00349,1.8
00350,1.8
00351,0.0
00352,1.6
00353,1.0
00354,1.2000000000000002
00355,0.8000000000000003
00356,1.8
00357,1.4000000000000001
00358,3.8000000000000007
00359,0.8
00360,3.4000000000000004
00361,2.6
00362,2.4000000000000004
00363,4.2
00364,3.6
00365,0.3999999999999999
00366,2.4000000000000004
00367,-1.4
00368,1.6
00369,0.6000000000000001
00370,3.0
00371,-0.6000000000000003
00372,3.6
00373,2.2
00374,1.0
00375,2.0
00376,0.0
00377,3.8000000000000007
00378,-0.19999999999999996
00379,1.0
00380,0.4
00381,3.0
00382,2.0
00383,1.8
00384,3.2
00385,2.6
00386,1.0
00387,2.0
00388,-0.3999999999999999
00389,2.8000000000000003
00390,0.8
00391,2.4000000000000004
00392,1.4000000000000001
00393,-0.19999999999999996
00394,1.4000000000000001
00395,1.8
00396,2.0
00397,3.6
00398,4.6000000000000005
00399,2.2
00400,2.0
00401,0.4
00402,3.6
00403,1.6
00404,0.6000000000000001
00405,0.6000000000000001
00406,2.2
00407,-1.4
00408,0.3999999999999999
00409,-0.3999999999999999
00410,0.6000000000000001
00411,0.6000000000000001
00412,1.0
00413,2.0
00414,1.6
00415,5.6000000000000005
00416,2.6
00417,0.6000000000000001
00418,2.8000000000000003
00419,0.8000000000000003
00420,3.6
00421,1.4000000000000001
00422,2.4000000000000004
00423,3.2
00425,2.6
00426,3.4000000000000004
00427,2.6
00428,1.8
00429,2.8000000000000003
00430,0.8
00431,2.4000000000000004
00432,4.2
00433,0.0
00434,0.0
00435,0.19999999999999996
00436,0.0
00437,0.4
00438,1.6
00440,-0.19999999999999996
00441,2.8000000000000003
00442,1.2000000000000002
00443,4.6000000000000005
00444,3.8000000000000007
00445,2.4000000000000004
00446,1.8
00447,-0.6000000000000003
00448,2.4000000000000004
00449,4.2
00450,0.6000000000000001
00451,2.4000000000000004
00453,1.0
00454,2.0
00455,-1.2000000000000002
00456,2.2
00457,0.5999999999999996
00458,0.6000000000000001
00459,1.4000000000000001
00461,3.2
00462,1.8
00463,1.8
00464,2.2
00465,1.2000000000000002
00466,1.2000000000000002
00467,0.0
00468,-1.2000000000000002
00469,2.2
00470,3.2
00471,4.2
00472,2.0
