고객번호,패션잡화_하_구매지수
00001,3.4000000000000004
00002,1.4000000000000001
00003,0.0
00004,2.2
00006,5.6000000000000005
00007,-0.40000000000000036
00008,1.8
00009,-0.19999999999999973
00010,4.4
00011,10.8
00012,1.0
00013,2.4000000000000004
00014,-2.4000000000000004
00015,2.8000000000000003
00016,6.800000000000001
00017,3.8
00018,-1.7999999999999998
00019,-1.4000000000000004
00020,2.8000000000000003
00021,-4.2
00023,3.8
00024,9.8
00025,1.4000000000000001
00026,0.0
00027,2.0
00028,-0.5999999999999996
00029,-3.6000000000000005
00030,-0.19999999999999973
00031,0.6000000000000001
00032,9.8
00033,0.0
00034,-4.2
00035,1.8
00036,2.8000000000000003
00037,-0.5999999999999996
00038,2.8000000000000003
00039,-2.2
00040,4.2
00041,5.6000000000000005
00042,4.4
00043,2.4000000000000004
00044,6.4
00045,0.20000000000000018
00046,5.8
00047,5.6000000000000005
00048,3.2
00049,0.0
00050,3.6
00051,1.8
00052,6.4
00053,2.8000000000000003
00054,9.4
00055,-3.0
00056,2.0
00057,2.4000000000000004
00058,2.4000000000000004
00060,-0.8000000000000007
00061,6.2
00062,4.2
00063,10.0
00064,0.0
00065,-0.8000000000000007
00066,-1.6000000000000005
00067,4.800000000000001
00068,2.8000000000000003
00069,2.4000000000000004
00070,2.0
00072,3.4000000000000004
00073,3.2
00074,1.2000000000000002
00075,8.8
00076,2.6000000000000005
00077,2.6000000000000005
00078,3.0
00079,0.7999999999999998
00080,7.0
00081,0.4
00082,-1.2000000000000006
00083,5.8
00084,10.200000000000001
00085,5.6000000000000005
00086,7.800000000000001
00087,4.800000000000001
00088,-0.5999999999999996
00089,6.4
00090,1.5999999999999996
00091,9.200000000000001
00092,1.8
00093,1.0
00094,7.4
00095,2.8000000000000003
00096,-3.2000000000000006
00097,0.6000000000000001
00098,-1.8000000000000003
00099,-1.0
00100,4.2
00101,-0.8000000000000007
00102,3.6
00103,5.2
00104,2.0
00105,2.4000000000000004
00106,1.1999999999999993
00107,5.2
00108,-3.0000000000000004
00110,5.2
00111,7.4
00112,4.2
00113,7.800000000000001
00114,0.0
00115,2.8000000000000003
00116,4.800000000000001
00117,2.8000000000000003
00118,4.800000000000001
00119,-3.2000000000000006
00120,7.800000000000001
00121,8.4
00122,6.4
00123,-1.2000000000000006
00124,0.8
00125,2.8000000000000003
00126,4.0
00127,2.8000000000000003
00128,-2.5999999999999996
00129,4.4
00130,2.2
00131,1.8
00132,-2.5999999999999996
00133,10.2
00134,5.8
00135,8.4
00136,2.8000000000000003
00137,-0.19999999999999996
00138,-0.19999999999999973
00139,0.6000000000000001
00140,6.2
00143,3.8000000000000007
00144,9.0
00145,5.8
00146,10.2
00147,3.6
00149,9.200000000000001
00150,3.8000000000000007
00151,1.4000000000000001
00152,1.2000000000000002
00153,2.4000000000000004
00154,-1.2000000000000006
00155,-0.19999999999999973
00156,-1.4000000000000004
00157,7.800000000000001
00158,4.800000000000001
00159,3.8000000000000007
00160,0.4
00161,0.6000000000000001
00162,-2.4000000000000004
00163,4.4
00164,-3.2000000000000006
00165,5.6000000000000005
00166,-0.19999999999999996
00167,-0.8000000000000007
00168,-1.2000000000000006
00169,2.8000000000000003
00170,8.8
00171,0.0
00172,7.800000000000001
00173,1.8
00175,-0.8
00176,7.4
00177,0.8
00178,4.4
00179,3.2
00180,3.8000000000000007
00181,5.000000000000001
00182,6.000000000000001
00183,-0.5999999999999996
