고객번호,일상용품_하_방문지수
00001,1.0
00002,2.8000000000000003
00003,1.8
00004,2.6
00006,0.8
00007,3.2
00008,3.4000000000000004
00009,2.4000000000000004
00010,0.4
00011,-0.3999999999999999
00012,2.2
00013,-0.19999999999999996
00014,0.19999999999999996
00015,2.4000000000000004
00016,0.8
00017,2.6
00018,-0.19999999999999996
00019,1.4000000000000001
00020,0.6000000000000001
00021,0.8
00022,0.4
00023,0.0
00024,1.4000000000000001
00025,0.6000000000000001
00026,0.6000000000000001
00027,1.6
00028,3.6
00029,2.8000000000000003
00030,0.8
00031,0.4
00032,1.4000000000000001
00033,-0.8
00034,-1.8000000000000003
00035,1.6
00036,0.6000000000000001
00037,3.2
00038,0.8
00039,1.8
00040,-0.19999999999999996
00041,2.8000000000000003
00042,1.8
00043,-0.19999999999999996
00044,1.6
00045,2.2
00046,0.19999999999999996
00047,-1.0000000000000002
00048,2.8000000000000003
00049,0.8
00050,1.2000000000000002
00051,-0.8
00052,1.2000000000000002
00053,2.2
00054,-0.8
00055,0.19999999999999996
00056,2.0
00057,1.2000000000000002
00058,1.2000000000000002
00059,1.2000000000000002
00060,2.4000000000000004
00061,0.4
00062,0.0
00063,-0.6000000000000001
00064,-0.3999999999999999
00065,2.2
00066,-0.19999999999999996
00067,1.0
00068,3.4000000000000004
00069,0.0
00070,2.2
00071,2.6
00072,2.4000000000000004
00073,0.19999999999999996
00074,0.3999999999999999
00075,0.19999999999999996
00076,1.2000000000000002
00077,3.0
00078,0.8
00079,1.4000000000000001
00080,0.8
00081,1.8
00082,0.8
00083,1.2000000000000002
00084,-0.6000000000000003
00085,2.4000000000000004
00086,0.19999999999999996
00087,1.8
00088,2.2
00089,0.4
00090,0.8
00091,-0.6000000000000001
00092,-0.6000000000000001
00093,2.2
00094,1.8
00095,2.8000000000000003
00096,1.2000000000000002
00097,1.0
00098,0.0
00099,2.2
00100,-0.19999999999999996
00101,-1.0000000000000002
00102,2.2
00103,-0.8
00104,0.4
00105,0.8
00106,2.2
00107,-0.8
00108,1.6
00109,1.2000000000000002
00110,1.2000000000000002
00111,1.8
00112,0.8
00113,1.4000000000000001
00114,0.19999999999999996
00115,-1.0000000000000002
00116,-0.8
00117,1.6
00118,1.6
00119,1.6
00120,0.19999999999999996
00121,3.4000000000000004
00122,4.2
00123,2.2
00124,0.8000000000000003
00125,-1.4000000000000004
00126,2.4000000000000004
00127,2.8000000000000003
00128,1.0
00129,-1.0000000000000002
00130,0.8
00131,0.8
00132,0.0
00133,2.4000000000000004
00134,1.2000000000000002
00135,0.8
00137,-0.19999999999999996
00138,2.4000000000000004
00139,3.6
00140,-0.3999999999999999
00141,-0.19999999999999996
00143,2.8000000000000003
00144,1.6
00145,0.6000000000000001
00146,-0.19999999999999996
00147,1.8
00148,-0.6000000000000001
00149,1.4000000000000001
00150,1.4000000000000001
00151,1.8
