고객번호,패션잡화_상_구매지수
00001,7.800000000000001
00002,-1.2000000000000006
00004,-3.6000000000000005
00006,9.4
00007,-3.8000000000000007
00008,7.000000000000001
00009,6.4
00010,2.4000000000000004
00011,-0.7999999999999998
00013,2.4000000000000004
00014,2.4000000000000004
00015,5.2
00016,8.0
00017,0.4
00018,-2.4000000000000004
00019,2.4000000000000004
00020,2.4000000000000004
00021,4.0
00022,7.2
00023,0.4
00024,2.4000000000000004
00025,5.2
00026,9.8
00027,9.4
00028,2.4000000000000004
00029,0.4
00030,4.4
00031,2.4000000000000004
00032,8.0
00033,2.0
00034,2.8000000000000003
00035,3.6
00036,8.8
00037,9.8
00038,8.0
00039,6.000000000000001
00040,-0.5999999999999996
00042,2.0
00044,-2.2
00045,-3.8000000000000007
00046,8.8
00047,-1.2000000000000006
00048,-3.2000000000000006
00049,3.4000000000000004
00050,4.800000000000001
00051,4.800000000000001
00053,1.3999999999999995
00054,1.0
00055,5.0
00056,-0.8000000000000007
00058,2.0
00059,0.20000000000000018
00061,-3.6000000000000005
00062,7.4
00063,2.4000000000000004
00065,2.8000000000000003
00067,2.0
00068,0.8
00070,-1.4000000000000004
00072,2.4000000000000004
00073,-4.2
00074,-1.8000000000000003
00076,2.4000000000000004
00077,0.20000000000000018
00078,6.4
00080,0.0
00081,12.2
00082,2.8000000000000003
00083,3.8
00084,1.2000000000000002
00085,2.4000000000000004
00086,2.8000000000000003
00087,5.4
00088,8.8
00090,5.2
00091,6.000000000000001
00092,4.800000000000001
00093,1.8
00094,2.8000000000000003
00095,4.2
00096,2.4000000000000004
00097,5.6000000000000005
00098,-1.2000000000000006
00099,0.4
00100,8.4
00102,-3.4000000000000004
00105,4.800000000000001
00106,8.4
00107,5.8
00108,4.4
00110,9.4
00112,3.4000000000000004
00113,8.8
00114,5.2
00115,7.6000000000000005
00116,-3.6000000000000005
00118,-3.4000000000000004
00119,11.600000000000001
00120,1.8
00121,6.000000000000001
00122,9.4
00124,-1.4000000000000004
00126,2.4000000000000004
00127,2.0
00130,2.8000000000000003
00131,2.4000000000000004
00132,5.4
00133,4.0
00134,0.4
00135,2.4000000000000004
00136,9.4
00137,4.2
00138,2.4000000000000004
00139,4.800000000000001
00140,-0.5999999999999996
00143,2.0
00144,2.4000000000000004
00145,8.4
00146,-1.8000000000000003
00147,5.6000000000000005
00149,1.5999999999999996
00150,-0.19999999999999973
00151,-1.4000000000000004
00152,11.8
00153,2.0
00155,2.8000000000000003
00156,4.800000000000001
00157,9.0
00159,-3.6000000000000005
00160,1.5999999999999996
00161,-1.4000000000000004
00162,7.800000000000001
00163,8.0
00164,-0.8000000000000007
00165,8.2
00166,4.800000000000001
00167,-1.4000000000000004
00168,9.8
