고객번호,일상용품_하_구매지수
00001,-0.20000000000000018
00002,0.4
00003,2.4000000000000004
00004,1.4000000000000001
00006,-0.19999999999999996
00007,1.4000000000000001
00008,6.000000000000001
00009,8.0
00010,0.4
00011,-2.2
00012,2.4000000000000004
00013,0.19999999999999996
00014,-0.19999999999999996
00015,-0.19999999999999996
00016,5.0
00017,3.4000000000000004
00018,-0.19999999999999996
00019,0.8
00020,-1.2000000000000002
00021,0.4
00022,1.6
00023,-1.2000000000000006
00024,0.4
00025,3.0
00026,-0.19999999999999996
00027,4.4
00028,0.8
00029,0.4
00030,0.0
00031,0.4
00032,1.0
00033,0.4
00034,-0.6000000000000001
00035,0.4
00036,0.8
00037,8.600000000000001
00038,0.4
00039,1.8
00040,-0.6000000000000001
00041,2.6
00042,0.0
00043,0.4
00044,4.6000000000000005
00045,0.8
00046,-1.0
00047,-0.6000000000000001
00048,0.4
00049,-0.6000000000000001
00050,0.0
00051,-0.19999999999999996
00052,0.4
00053,2.0
00054,1.8
00055,-0.19999999999999996
00056,0.4
00057,1.2000000000000002
00058,-2.5999999999999996
00059,-0.5999999999999996
00060,0.0
00061,1.2000000000000002
00062,-3.2000000000000006
00063,0.19999999999999996
00064,-0.3999999999999999
00065,-0.19999999999999996
00066,0.4
00067,0.0
00068,5.4
00069,0.4
00070,3.6
00071,-0.19999999999999996
00072,1.0
00073,-1.6000000000000005
00074,0.4
00075,-0.19999999999999996
00076,1.0
00077,1.4000000000000001
00078,0.8
00079,0.8
00080,-0.19999999999999996
00081,7.0
00082,-0.19999999999999996
00083,-1.2000000000000002
00084,0.8
00085,5.4
00086,0.8
00087,3.0
00088,0.4
00089,0.4
00090,2.4000000000000004
00091,-0.19999999999999996
00092,-0.19999999999999996
00093,3.2
00094,0.4
00095,1.4000000000000001
00096,-0.6000000000000001
00097,1.2000000000000002
00098,-1.4
00099,0.4
00100,-2.5999999999999996
00101,-0.8
00102,-0.19999999999999996
00103,1.2000000000000002
00104,0.4
00105,0.0
00106,0.4
00107,-0.19999999999999996
00108,-0.19999999999999996
00109,0.8
00110,0.4
00111,0.4
00112,0.4
00113,0.4
00114,0.8
00115,-0.19999999999999996
00116,0.0
00117,0.4
00118,7.4
00119,-0.19999999999999996
00120,-0.6000000000000001
00121,5.8
00122,1.4000000000000001
00123,0.4
00124,1.8
00125,-0.19999999999999996
00126,1.2000000000000002
00127,5.2
00128,0.8
00129,0.19999999999999996
00130,1.4000000000000001
00131,-0.19999999999999996
00132,0.8
00133,0.4
00134,3.2
00135,4.800000000000001
00137,0.8
00138,0.4
00139,-0.19999999999999996
00140,0.8
00141,0.0
00143,0.4
00144,-0.6000000000000001
00145,2.6
00146,-1.4
00147,0.4
00148,0.4
00149,5.8
00150,0.0
00151,0.4
00152,-0.6000000000000001
00153,-0.19999999999999996
00154,3.0
00155,0.8
00156,0.8
00157,0.8
00158,1.4000000000000001
00159,0.19999999999999973
00160,-0.19999999999999996
00161,3.0
00162,-0.6000000000000001
00163,0.0
00164,5.4
00165,5.2
00166,6.4
00167,-0.19999999999999996
00168,0.8
00169,0.4
00170,0.0
00171,0.4
00172,1.4000000000000001
00173,0.0
00175,0.4
00176,0.8
00177,-0.19999999999999996
00178,0.4
00179,0.4
00180,-0.19999999999999996
00181,0.4
00182,0.8
00183,0.8
00184,1.4000000000000001
00185,2.0
00186,0.8
00187,1.4000000000000001
00188,0.4
00189,0.4
00190,0.0
00191,1.6
00192,1.4000000000000001
00193,0.8
00194,0.0
00195,0.8
00196,0.0
00197,0.4
00198,0.19999999999999996
00199,0.0
00200,0.0
00201,-0.19999999999999996
00202,1.2000000000000002
00203,-0.19999999999999996
00204,0.8
00205,-0.19999999999999996
00206,-0.19999999999999996
00207,0.8
00208,3.2
00209,7.0
00210,1.0
00211,0.8
00212,0.4
00213,1.0
00214,-0.19999999999999996
00215,1.4000000000000001
00216,0.0
00217,0.0
00218,5.0
00219,6.4
00220,-0.19999999999999996
00221,0.4
00222,3.4000000000000004
00223,5.4
00225,2.4000000000000004
00226,0.4
00227,-0.19999999999999996
00228,0.4
00229,0.0
00230,0.0
00231,0.8
00232,0.4
00233,1.2000000000000002
00234,2.4000000000000004
00235,-0.6000000000000001
00236,0.4
00237,0.4
00238,-0.19999999999999996
00239,1.4000000000000001
00240,1.2000000000000002
00241,2.8000000000000003
00242,0.4
00243,0.4
00245,1.0
00246,5.4
00247,0.4
00248,0.0
00249,2.4000000000000004
00250,0.8
00251,-0.19999999999999996
00252,1.4000000000000001
00253,4.0
00254,0.0
00255,-1.6
00256,1.4000000000000001
00257,0.0
00258,-0.6000000000000003
00259,0.0
00260,-0.6000000000000001
00261,3.8
00262,0.8
00263,-0.19999999999999996
00264,0.0
00265,6.0
00266,3.0
00267,0.4
00268,-0.19999999999999996
00269,0.4
00270,0.8
00271,3.0
00272,0.4
00273,6.4
00274,-0.19999999999999996
00275,1.0
00276,0.4
00277,0.4
00278,1.0
00279,0.8
00280,-0.19999999999999996
00281,-0.19999999999999996
00282,2.4000000000000004
00283,0.0
00284,0.8
00285,2.0
00286,0.4
00287,-0.19999999999999996
00288,0.4
00289,5.4
00290,0.4
00291,-0.19999999999999996
00292,0.4
00293,0.4
00294,6.6
00295,6.4
00296,0.19999999999999996
00297,0.4
00298,0.8
00299,0.8
00300,-0.19999999999999996
00301,3.4000000000000004
00302,0.4
00303,0.0
00304,1.2000000000000002
00305,-0.6000000000000001
00306,3.0
00307,1.8
00308,1.2000000000000002
00309,2.8000000000000003
00310,0.4
00311,-4.2
00312,0.19999999999999996
00313,0.8
00314,0.0
00315,0.4
00316,2.2
00317,0.4
00318,2.0
00319,2.0
00320,2.4000000000000004
00321,0.4
00322,-0.19999999999999996
00323,-0.6000000000000001
00324,-0.19999999999999996
00325,-0.19999999999999996
00326,1.4000000000000001
00327,2.8000000000000003
00328,2.0
00329,0.8
00330,8.0
00331,0.8
00332,-0.19999999999999996
00333,0.4
00334,7.800000000000001
00335,3.2
00336,0.0
00337,1.2000000000000002
00338,0.8
00339,0.4
00340,9.4
00341,-2.5999999999999996
00342,-0.19999999999999996
00343,0.4
00344,3.4000000000000004
00345,3.2
00346,7.4
00347,0.4
00348,0.4
00349,-0.19999999999999996
