고객번호,일상용품_중_구매지수
00001,2.0
00002,6.000000000000001
00003,2.0
00004,2.0
00006,3.2
00007,2.0
00008,-3.0
00010,7.0
00012,-3.0
00013,3.0
00014,-1.0
00015,4.4
00017,8.0
00018,1.6
00019,0.0
00020,5.0
00021,8.0
00023,2.4000000000000004
00024,2.0
00025,7.0
00026,2.0
00028,3.0
00029,7.600000000000001
00030,2.0
00032,2.4000000000000004
00033,2.0
00035,1.8
00036,-1.0
00038,3.8
00039,6.000000000000001
00040,-2.2
00041,3.6
00042,1.4000000000000001
00043,2.8000000000000003
00045,2.0
00047,2.4000000000000004
00048,6.000000000000001
00049,2.0
00050,3.0
00051,-3.0
00055,1.0
00057,5.8
00060,-1.0
00061,5.0
00062,2.0
00064,-1.0
00065,2.0
00066,-0.7999999999999998
00067,0.8
00068,1.6
00069,-0.3999999999999999
00071,2.0
00072,4.4
00073,-2.4000000000000004
00074,-1.4
00075,2.0
00076,-1.2000000000000002
00077,8.0
00078,2.0
00079,-0.5999999999999996
00080,2.0
00081,6.000000000000001
00082,3.4000000000000004
00083,1.6
00084,3.8000000000000007
00085,2.0
00086,4.0
00088,1.4000000000000001
00089,5.4
00090,2.0
00091,-3.0
00092,7.4
00094,2.0
00095,7.0
00097,2.0
00098,-1.4
00099,4.0
00100,4.0
00101,2.0
00102,5.8
00103,3.0
00104,1.4000000000000001
00105,4.0
00106,2.0
00107,-0.3999999999999999
00108,9.0
00109,-1.4
00110,3.6
00111,6.6
00112,3.2
00113,3.4000000000000004
00114,2.0
00115,0.0
00116,4.0
00117,2.0
00121,0.0
00122,2.4000000000000004
00123,-1.0
00125,-3.0
00126,4.0
00127,2.4000000000000004
00128,-1.4
00130,0.0
00131,2.0
00132,1.4000000000000001
00133,1.0
00136,0.0
00137,2.4000000000000004
00138,5.0
00139,5.4
00140,0.0
00141,7.0
00143,6.6
00144,2.0
00145,2.4000000000000004
00147,6.000000000000001
00148,5.0
00150,2.4000000000000004
00151,1.6
00152,-1.4
00153,1.6
00154,2.0
00155,-3.0
00157,2.0
00158,6.000000000000001
00159,1.0
00160,1.6
00162,2.4000000000000004
00163,1.6
00164,4.0
00165,1.6
00166,4.0
00167,0.0
00168,4.0
00169,0.20000000000000018
00170,2.4000000000000004
00171,3.6
00172,4.0
00173,2.0
00175,2.4000000000000004
00177,6.000000000000001
00178,6.6
00179,9.0
00181,0.0
00182,1.6
00183,4.4
00184,-2.5999999999999996
00185,2.4000000000000004
00186,2.0
00187,5.0
00188,-0.7999999999999998
00189,6.000000000000001
00191,-3.6000000000000005
00192,9.4
00193,3.0
00194,3.2
00195,0.0
00196,0.4
00197,-0.3999999999999999
00198,6.000000000000001
00199,7.4
00200,6.4
00201,2.0
00202,2.0
00203,4.0
00204,2.4000000000000004
00205,-3.0
00206,3.6
00207,5.6
00209,7.4
00210,2.4000000000000004
00212,0.0
00213,1.2000000000000002
00214,2.4000000000000004
00215,-0.5999999999999996
00216,2.0
00218,6.000000000000001
00219,2.4000000000000004
00220,1.8
00221,2.0
00222,3.6
00223,5.8
00225,-3.0
00226,7.0
00227,2.0
00228,1.8
00229,2.0
00230,3.0
00231,5.4
00232,6.0
00233,2.0
00234,3.0
00235,7.000000000000001
00236,1.6
00237,0.0
00239,2.0
00242,-2.0
00243,2.0
00245,4.0
00247,7.4
00248,4.4
00249,2.0
00252,2.0
00253,5.0
00254,2.4000000000000004
00256,7.000000000000001
00257,-2.0
00258,8.4
00259,2.4000000000000004
00260,-1.4
00261,2.0
00262,2.0
00263,3.0
00264,4.0
00266,2.0
00267,2.4000000000000004
00268,2.0
00269,1.4000000000000001
00270,7.200000000000001
00271,-2.5999999999999996
00272,2.4000000000000004
00273,2.4000000000000004
00274,-1.0
00275,4.6000000000000005
00276,4.4
00277,4.0
00280,0.0
00281,-3.0
00282,7.600000000000001
00283,2.4000000000000004
00284,2.6
00285,7.0
00286,5.4
00287,6.000000000000001
00288,5.0
00289,1.6
00290,2.4000000000000004
00291,6.4
00293,2.0
00295,6.000000000000001
00296,2.4000000000000004
00297,5.0
00298,4.800000000000001
00299,-0.5999999999999996
00300,0.4
00301,2.4000000000000004
00302,-3.6000000000000005
00303,6.0
00305,4.800000000000001
00306,-3.0
00307,7.4
00308,2.0
00309,-3.0
00310,3.6
00312,3.6
00313,-1.0
00314,-2.5999999999999996
00315,2.0
00317,-1.0
00318,5.0
00319,2.0
00320,2.0
00321,-1.0
00322,-3.0
00323,6.000000000000001
00324,1.4000000000000001
00325,5.0
00326,0.0
00327,-3.0
00330,2.0
00331,5.0
00332,-1.0
00333,2.4000000000000004
00334,-3.0
00335,-3.0
00336,-1.6000000000000005
00337,2.0
00338,1.2000000000000002
00339,1.4000000000000001
00340,3.6
00341,2.0
00342,5.0
00343,2.0
00344,2.0
00346,0.0
00347,1.4000000000000001
00348,0.0
00349,-1.0
00351,-0.5999999999999996
00352,2.4000000000000004
00353,2.4000000000000004
00354,5.8
00355,0.0
00356,8.0
00357,2.0
00358,2.0
00359,-2.0000000000000004
00360,1.4000000000000001
00361,4.0
00362,-1.0
00364,6.4
00365,-2.5999999999999996
00366,-2.4000000000000004
00367,1.8
00368,3.4000000000000004
00369,2.4000000000000004
00370,2.4000000000000004
00371,5.0
00372,1.0
00373,7.600000000000001
00374,2.0
00375,3.6
00376,2.0
00377,-1.0
00378,5.0
00379,0.0
00381,2.0
00382,2.0
00383,5.0
00384,3.8
00385,3.4000000000000004
00386,-4.2
00387,-2.8000000000000007
00388,7.0
00389,0.4
00390,1.8
00391,3.4000000000000004
00393,-1.0
00394,4.0
00395,6.4
00396,3.0
00397,0.4
00400,-3.0
00402,2.0
00403,2.0
00404,1.8
00405,2.0
00406,6.4
00409,4.0
00410,2.4000000000000004
00411,-3.0
00413,2.0
00414,2.0
00415,1.0
00416,-1.6000000000000005
00417,3.0
00418,2.4000000000000004
00419,6.4
00420,-0.3999999999999999
00421,1.4000000000000001
00422,2.0
00425,4.0
00426,2.0
00428,0.0
00429,4.800000000000001
00430,2.0
00431,3.0
00432,3.4000000000000004
00433,2.4000000000000004
00434,-2.5999999999999996
00436,5.0
00438,2.0
00439,2.0
00440,2.0
00441,8.8
00442,6.800000000000001
00443,0.0
00444,0.0
00445,-2.4000000000000004
00446,0.8
00447,0.0
00448,-1.0
00449,2.0
00450,3.4000000000000004
00451,3.6
00452,5.0
00453,4.0
00454,2.0
00455,4.4
00456,4.0
00457,-3.0
00458,-2.5999999999999996
00459,1.4000000000000001
00461,2.4000000000000004
00462,-3.0
00464,1.0
00465,7.0
00466,-2.5999999999999996
00467,5.0
00468,1.4000000000000001
00469,2.0
00470,4.0
00472,2.0
00473,-1.0
00474,-3.0
00475,5.0
00476,5.0
00477,2.4000000000000004
00478,2.4000000000000004
00479,10.0
00480,5.4
00481,2.6
00482,-0.5999999999999996
00485,2.4000000000000004
00487,1.0
00488,2.0
00490,2.0
00491,-3.0
00492,2.0
00493,-1.0
00494,7.0
00495,-2.4000000000000004
00496,5.0
00497,3.0
00498,3.0
00499,1.4000000000000001
00500,7.0
00501,2.4000000000000004
00502,2.0
00503,4.4
00504,8.4
00505,-2.5999999999999996
00506,-1.0
00507,0.0
00508,1.8
00510,3.6
00511,1.8
00512,1.4000000000000001
00513,2.0
00514,7.0
00515,2.4000000000000004
00516,2.0
00517,-2.4000000000000004
00518,8.0
00519,2.0
00521,6.4
