고객번호,패션잡화_중_구매지수
00001,-1.2000000000000006
00002,3.2
00004,-1.8000000000000003
00006,6.000000000000001
00007,-1.8000000000000003
00008,-1.2000000000000006
00009,0.0
00010,2.4000000000000004
00011,2.8000000000000003
00013,2.4000000000000004
00014,8.8
00015,0.0
00018,2.4000000000000004
00020,2.8000000000000003
00021,11.8
00023,3.6
00024,6.4
00025,2.4000000000000004
00026,2.8000000000000003
00027,5.2
00029,1.0
00031,-1.2000000000000006
00032,2.4000000000000004
00034,2.8000000000000003
00035,2.8000000000000003
00036,2.4000000000000004
00038,0.0
00040,1.5999999999999996
00041,2.8000000000000003
00042,-1.8000000000000003
00044,9.8
00045,0.0
00046,7.000000000000001
00047,6.000000000000001
00048,5.6000000000000005
00049,2.8000000000000003
00050,9.200000000000001
00051,5.0
00052,6.0
00053,7.000000000000001
00055,3.2
00056,2.4000000000000004
00057,2.4000000000000004
00058,2.8000000000000003
00060,4.2
00061,0.0
00062,-3.2000000000000006
00063,5.0
00065,2.4000000000000004
00066,2.0
00068,-4.2
00070,2.4000000000000004
00072,5.0
00073,2.8000000000000003
00074,-0.8000000000000007
00076,-0.8000000000000007
00077,0.0
00078,2.8000000000000003
00079,9.8
00081,10.200000000000001
00082,8.8
00083,2.8000000000000003
00084,8.8
00086,9.200000000000001
00087,5.2
00088,2.8000000000000003
00089,2.8000000000000003
00090,-1.2000000000000006
00091,2.4000000000000004
00092,5.8
00093,9.4
00094,2.4000000000000004
00095,2.4000000000000004
00096,6.0
00097,2.4000000000000004
00099,-3.8000000000000007
00100,5.2
00102,6.000000000000001
00103,2.0
00105,7.000000000000001
00106,9.8
00107,9.8
00108,3.8
00110,-4.2
00112,9.8
00113,10.8
00114,2.4000000000000004
00115,9.8
00118,4.6000000000000005
00119,2.2
00120,9.8
00122,10.200000000000001
00124,2.8000000000000003
00125,-3.6000000000000005
00126,2.4000000000000004
00127,0.0
00128,7.000000000000001
00129,2.4000000000000004
00130,2.8000000000000003
00131,-3.2000000000000006
00132,6.000000000000001
00134,9.8
00135,2.8000000000000003
00136,2.8000000000000003
00137,6.000000000000001
