고객번호,일상용품_상_방문지수
00001,-1.2000000000000002
00002,0.6000000000000001
00003,0.4
00004,-0.8
00006,0.4
00007,2.0
00008,-0.19999999999999996
00009,5.4
00010,1.4
00011,0.8
00012,1.0
00013,3.4000000000000004
00014,-0.3999999999999999
00015,0.4
00016,4.800000000000001
00017,0.19999999999999973
00018,-1.4000000000000004
00019,0.4
00020,3.0
00021,-1.4000000000000004
00022,2.6
00023,2.4000000000000004
00024,0.8
00025,1.2000000000000002
00026,2.4000000000000004
00027,1.4000000000000001
00028,0.4
00029,-0.3999999999999999
00030,-0.3999999999999999
00031,1.8
00032,2.2
00033,-0.19999999999999996
00034,0.6000000000000001
00035,2.2
00036,3.0
00037,3.0000000000000004
00038,2.8000000000000003
00039,5.4
00040,0.8
00041,0.8
00042,-0.19999999999999996
00043,-1.8000000000000003
00044,1.0
00045,1.0
00046,0.6000000000000001
00047,1.2000000000000002
00048,0.19999999999999996
00049,1.0
00050,0.19999999999999996
00051,1.2000000000000002
00052,0.4
00053,2.8000000000000003
00054,0.19999999999999996
00055,0.8
00056,3.2
00058,4.6000000000000005
00059,1.2000000000000002
00060,2.2
00061,-1.2000000000000002
00062,0.8
00063,3.4000000000000004
00064,0.19999999999999996
00065,2.4000000000000004
00066,2.0
00067,0.8
00068,-3.2000000000000006
00069,-0.19999999999999996
00070,3.4000000000000004
00071,0.4
00072,2.6
00073,-0.8
00074,4.0
00075,0.4
00076,0.19999999999999996
00077,2.0
00078,3.0
00079,2.4000000000000004
00080,1.6
00081,1.8
00082,2.0
00083,2.4000000000000004
00084,0.8
00085,0.3999999999999999
00086,0.4
00087,1.2000000000000002
00088,1.8
00089,1.6
00090,0.8
00091,1.4000000000000001
00092,-0.6000000000000003
00093,2.4000000000000004
00094,4.800000000000001
00095,-0.6000000000000003
00096,-0.8
00097,-0.19999999999999996
00098,0.6000000000000001
00099,1.8
00100,-0.3999999999999999
00101,-0.3999999999999999
00102,0.8
00103,0.0
00104,-0.19999999999999996
00105,3.2
00106,0.19999999999999996
00107,0.0
00108,1.8
00109,0.8
00110,3.8000000000000007
00111,0.0
00112,2.8000000000000003
00113,1.0
00114,2.4000000000000004
00115,0.19999999999999996
00116,-0.3999999999999999
00117,6.2
00118,-0.19999999999999996
00119,2.6
00120,3.0
00121,0.6000000000000001
00122,1.4000000000000001
00123,0.19999999999999996
00124,0.8
00125,0.6000000000000001
00126,2.6
00127,-1.2000000000000002
00128,-0.19999999999999996
00129,0.4
00130,0.19999999999999996
00131,2.8000000000000003
00132,1.0
00133,1.6
00134,1.8
00135,2.2
00136,5.6000000000000005
00137,1.8
00138,0.19999999999999996
00139,-3.6000000000000005
00140,-0.3999999999999999
00143,1.4000000000000001
00144,1.2000000000000002
00145,3.6
00146,2.0
00147,0.6000000000000001
00148,0.4
00149,2.4000000000000004
00150,-0.6000000000000001
00151,2.2
00152,-1.4000000000000004
00153,1.8
00154,1.2000000000000002
00155,-0.6000000000000001
00156,0.0
00157,2.2
00158,1.2000000000000002
00159,1.8
00160,0.8
00161,-0.3999999999999999
00162,0.4
00163,-1.0000000000000002
00164,0.4
00165,1.4000000000000001
00166,4.0
00167,1.4000000000000001
00168,3.2
00169,0.8
00170,0.19999999999999996
00171,-0.8
00172,0.6000000000000001
00173,0.4
00175,1.4000000000000001
00176,0.8
00177,-0.6000000000000001
00178,-0.3999999999999999
00179,1.0
00180,-0.3999999999999999
00181,0.8
00182,-0.8
00183,0.4
00184,1.4000000000000001
00185,3.8000000000000007
00186,2.8000000000000003
00187,-1.0000000000000002
00189,1.2000000000000002
00190,2.4000000000000004
00191,0.8
00192,3.8000000000000007
00193,2.4000000000000004
00194,3.2
00195,0.4
00196,0.19999999999999996
00197,1.8
00198,0.8
00199,1.2000000000000002
00200,-1.8000000000000003
00201,-0.19999999999999996
00202,1.2000000000000002
00203,1.4000000000000001
00204,0.6000000000000001
00205,0.0
00206,1.6
00207,0.4
00208,1.2000000000000002
00209,2.2
00210,1.8
00211,0.8000000000000003
00212,2.2
00213,1.6
00214,0.0
00215,2.2
00216,0.8000000000000003
00217,-0.20000000000000018
00218,4.2
00219,-0.20000000000000018
00220,0.4
00221,0.19999999999999996
00222,1.4000000000000001
00223,2.2
00224,0.8
00225,-2.4000000000000004
00226,2.2
00228,-1.8000000000000003
00229,1.2000000000000002
00230,0.3999999999999999
00231,0.4
00233,0.0
00234,0.19999999999999996
00235,0.8
00237,-0.6000000000000001
00238,2.8000000000000003
00239,5.8
00240,-2.4000000000000004
00241,4.2
00242,1.6
00243,0.0
00245,0.19999999999999996
00246,0.8
00247,-2.2
00248,1.2000000000000002
00249,0.19999999999999996
00250,0.19999999999999996
00251,4.6000000000000005
00252,1.6
00253,-1.0000000000000002
00254,-0.3999999999999999
00255,-0.19999999999999996
00256,2.8000000000000003
00257,-0.8
00258,0.8
00259,1.4000000000000001
00260,0.8
00261,2.6
00262,1.0
00263,2.4000000000000004
00264,0.4
00265,3.6
00266,-0.19999999999999996
00267,2.8000000000000003
00268,0.0
00269,1.8
00270,4.6000000000000005
00271,0.4
00272,0.0
00273,0.6000000000000001
00274,2.0
00275,2.6
00276,4.0
00277,0.6000000000000001
00278,-1.2000000000000002
00279,-1.2000000000000002
00280,0.0
00281,6.2
00282,0.19999999999999996
00283,2.4000000000000004
00284,-0.19999999999999996
00285,-0.8
00286,-1.0000000000000002
00287,0.4
00288,-0.19999999999999996
00289,2.8000000000000003
00290,1.2000000000000002
00291,0.4
00292,1.4000000000000001
00293,0.19999999999999996
00294,2.6
00295,5.2
00296,0.8
00297,2.2
00298,3.0000000000000004
00299,0.3999999999999999
00300,1.2000000000000002
00301,-1.0000000000000002
00302,0.0
00303,4.2
00304,4.2
00305,4.6000000000000005
00306,0.19999999999999996
00307,-0.8
00308,1.2000000000000002
00309,1.8
00310,1.6
00311,0.3999999999999999
00313,-0.19999999999999996
00314,-2.2
00315,0.4
00316,1.2000000000000002
00317,-0.6000000000000003
00318,-1.4000000000000004
00319,1.8
00320,0.3999999999999999
00321,0.4
00322,1.6
00323,1.8
00324,1.0
00325,2.6
00326,1.0
00327,-0.20000000000000018
00328,2.4000000000000004
00329,0.8
00330,0.8
00331,-0.19999999999999996
00332,1.8
00333,2.4000000000000004
00334,0.6000000000000001
00335,0.6000000000000001
00336,1.0
00337,2.8000000000000003
00338,0.19999999999999996
00339,-0.8
00340,0.8
00341,3.2
00342,1.6
00343,1.6
00344,-0.3999999999999999
00345,4.2
00346,0.6000000000000001
00347,1.4000000000000001
00348,0.4
00349,-0.3999999999999999
00350,1.0
00351,-0.8
00352,-0.8
00353,2.2
00354,3.8000000000000007
00355,1.6
00356,1.6
00357,1.0
00358,1.2000000000000002
00359,0.3999999999999999
00360,1.4000000000000001
00361,2.2
00362,-0.8
00363,-2.4000000000000004
00364,4.4
00365,-1.0000000000000002
00366,-1.2000000000000002
00367,-0.19999999999999996
00368,1.2000000000000002
00369,0.8000000000000003
00370,0.8
00371,0.4
00372,0.19999999999999996
00373,2.8000000000000003
00374,1.8
00375,1.6
00376,0.4
00377,1.6
00378,1.8
00379,0.8
00381,0.8
00382,2.2
00383,0.19999999999999996
00384,0.4
00385,0.6000000000000001
00386,-0.3999999999999999
00387,2.0
00388,1.2000000000000002
00389,0.8
00390,1.2000000000000002
00391,-2.2
00392,0.0
00393,1.6
00394,0.19999999999999996
00395,-1.0000000000000002
00396,1.8
00397,1.2000000000000002
00398,0.8
00399,-0.8
00400,-0.8
00401,0.0
00402,-0.19999999999999996
00403,-0.19999999999999996
00404,2.2
00405,0.8
00406,0.19999999999999996
00407,-1.2000000000000002
00408,1.6
00409,0.19999999999999996
00410,1.2000000000000002
00411,-0.19999999999999996
00412,1.8
00413,1.6
00414,3.6
00415,3.2
00416,-3.6000000000000005
00417,-0.6000000000000001
00418,2.2
00419,0.19999999999999996
00420,2.8000000000000003
00421,0.19999999999999996
00422,2.2
00423,-0.19999999999999996
00425,2.6
00426,4.800000000000001
00427,1.2000000000000002
00428,-1.4000000000000004
00429,0.6000000000000001
