고객번호,의류_상_방문지수
00001,-0.19999999999999996
00002,0.6000000000000001
00004,2.0
00006,2.8000000000000003
00007,0.6000000000000001
00008,0.19999999999999996
00009,1.8
00010,-0.8
00011,1.6
00012,0.4
00013,1.2000000000000002
00014,2.2
00015,2.6
00016,1.2000000000000002
00017,3.2
00018,-4.800000000000001
00019,5.0
00020,0.8
00021,2.0
00022,2.4000000000000004
00023,2.2
00024,0.0
00025,6.6
00026,0.0
00027,1.8
00029,2.2
00030,1.4000000000000001
00031,0.8
00032,1.2000000000000002
00033,0.4
00034,5.6000000000000005
00035,-0.19999999999999996
00036,0.8
00037,3.6
00038,0.19999999999999996
00039,0.4
00040,1.6
00041,4.0
00042,0.0
00043,0.19999999999999996
00044,2.4000000000000004
00045,3.4000000000000004
00046,1.6
00047,2.2
00048,0.8
00049,0.4
00050,1.2000000000000002
00051,0.4
00052,-1.0000000000000002
00053,1.4000000000000001
00056,3.6
00058,0.8
00059,0.4
00060,2.2
00061,1.0
00062,5.2
00063,0.4
00065,3.2
00066,1.0
00067,1.8
00068,1.8
00070,2.2
00072,-0.6000000000000001
00073,1.8
00074,-0.3999999999999999
00076,3.4000000000000004
00077,1.8
00078,2.4000000000000004
00079,1.2000000000000002
00080,4.4
00081,1.6
00082,2.0
00083,2.8000000000000003
00084,1.8
00085,1.0
00086,4.2
00087,0.8
00088,1.2000000000000002
00089,0.4
00090,3.2
00091,0.8
00092,4.0
00093,2.0
00094,4.800000000000001
00095,0.8
00096,-0.6000000000000003
00097,1.2000000000000002
00098,0.4
00099,3.4000000000000004
00100,1.6
00101,-0.6000000000000001
00102,1.2000000000000002
00104,2.4000000000000004
00105,0.0
00106,3.0
00107,4.4
00108,5.0
00110,2.2
00112,2.4000000000000004
00113,1.8
00114,3.4000000000000004
00115,2.4000000000000004
00116,1.0
00117,0.6000000000000001
00118,1.8
00119,2.0
00120,0.4
00121,1.6
00122,2.2
00124,3.2
00125,2.8000000000000003
00126,1.2000000000000002
00127,0.4
00130,2.8000000000000003
00131,5.2
00132,0.0
00133,3.4000000000000004
00134,-0.20000000000000018
00135,1.6
00136,5.2
00137,1.2000000000000002
00138,1.2000000000000002
00139,1.4000000000000001
00140,-0.6000000000000001
00141,0.4
00144,1.2000000000000002
00145,2.8000000000000003
00146,0.0
00147,2.6
00149,-1.8000000000000003
00150,3.8
00151,2.4000000000000004
00152,1.2000000000000002
00153,4.0
00154,-1.8000000000000003
00155,1.2000000000000002
00156,2.2
00157,1.4000000000000001
00158,0.4
00159,2.4000000000000004
00160,0.19999999999999996
00161,2.2
00162,2.4000000000000004
00164,1.0
00165,2.8000000000000003
00166,0.8
00167,3.0
00168,2.8000000000000003
00169,0.8
00171,2.4000000000000004
00172,3.2
00173,3.4000000000000004
00175,0.4
00177,2.2
00178,1.0
00179,2.6
00180,0.4
00181,3.8000000000000007
00182,3.2
00184,0.3999999999999999
00186,2.2
00187,-2.4000000000000004
00189,3.8000000000000007
00190,3.4000000000000004
00191,0.19999999999999996
00192,2.8000000000000003
00194,1.8
00196,0.6000000000000001
00197,5.2
00198,5.6000000000000005
00199,1.4000000000000001
00200,1.8
00201,1.0
00202,3.2
00204,1.2000000000000002
00205,-0.3999999999999999
00206,-0.8
00208,-1.0000000000000002
00209,0.8
00211,3.4000000000000004
00212,1.4000000000000001
00213,3.6
00214,1.6
00215,0.0
00216,0.4
00217,0.0
00218,3.2
00219,1.8
00220,0.0
00221,0.4
00222,0.19999999999999996
00223,3.4000000000000004
00224,0.6000000000000001
00225,0.8
00229,2.8000000000000003
00230,1.8
00231,0.8
00232,0.4
00233,5.4
00234,3.2
00235,2.8000000000000003
00237,-0.3999999999999999
00238,3.8000000000000007
00239,3.2
00240,-0.8
00241,3.6
00242,0.4
00243,0.0
00245,0.8
00246,2.8000000000000003
00247,0.4
00248,0.8000000000000003
00249,1.4000000000000001
00250,2.8000000000000003
00251,1.2000000000000002
00252,3.6
00253,6.2
00254,-0.19999999999999996
00255,1.4000000000000001
00256,2.0
00257,0.8
00258,3.8000000000000007
00259,5.800000000000001
00260,0.4
00261,2.8000000000000003
00262,4.6000000000000005
00263,0.0
00264,1.2000000000000002
00265,0.8
00266,2.2
00267,0.6000000000000001
00268,-0.3999999999999999
00269,0.6000000000000001
00271,3.8
00272,0.6000000000000001
00273,2.4000000000000004
00275,1.6
00276,0.4
00277,4.2
00279,2.2
00280,2.4000000000000004
00281,2.0
00282,0.19999999999999996
00283,0.19999999999999996
00285,1.4000000000000001
00286,2.2
00287,0.4
00288,-1.2000000000000002
00289,0.4
00292,3.2
00293,1.2000000000000002
00294,3.4000000000000004
00295,4.2
00296,1.0
00297,5.4
00298,4.4
00299,0.8
00300,1.2000000000000002
00301,2.4000000000000004
00302,2.6
00303,0.0
00304,0.8
00305,1.4000000000000001
00306,3.2
00307,0.19999999999999996
00308,2.4000000000000004
00309,3.6
00310,-0.6000000000000003
00311,0.4
00313,-0.19999999999999996
00314,-0.8
00315,6.4
00316,1.6
00317,0.0
00318,-0.8
00319,0.8
00320,1.6
00321,1.2000000000000002
00322,0.8
00323,2.2
00324,1.0
00325,0.8
00326,4.4
00327,0.19999999999999996
00328,0.19999999999999996
00329,0.8
00331,3.6
00332,2.2
00333,1.8
00334,5.4
00335,3.8000000000000007
00336,1.8
00337,2.0
00338,3.0000000000000004
00340,4.6000000000000005
00341,2.8000000000000003
00343,2.2
00344,-0.8
00345,2.0
00346,0.4
00347,1.8
00349,1.6
00350,2.8000000000000003
00351,1.2000000000000002
00352,1.8
00355,3.4000000000000004
00356,3.0000000000000004
00357,0.4
00358,6.4
00359,1.2000000000000002
00360,2.0
00361,1.4000000000000001
00362,2.0
00363,1.8
00364,4.6000000000000005
00365,0.3999999999999999
00366,0.4
00367,2.0
00368,4.2
