고객번호,의류_하_구매지수
00001,0.4
00002,1.4000000000000001
00003,2.4000000000000004
00004,1.4000000000000001
00006,1.4000000000000001
00007,2.0
00008,1.8
00009,8.4
00010,8.4
00011,3.2
00012,5.8
00013,2.4000000000000004
00014,4.800000000000001
00015,1.2000000000000002
00016,3.6
00017,-1.8000000000000003
00018,-3.2000000000000006
00019,-3.6000000000000005
00020,2.8000000000000003
00021,8.4
00023,-0.5999999999999996
00024,5.8
00025,3.8
00026,0.8
00027,1.8
00028,-1.0
00029,1.4000000000000001
00030,-0.19999999999999996
00031,2.2
00032,2.0
00033,6.6
00034,-1.0
00035,1.4000000000000001
00036,8.4
00037,3.2
00038,0.19999999999999996
00039,-3.8000000000000007
00040,1.4000000000000001
00041,3.0
00042,2.2
00043,0.0
00044,7.800000000000001
00045,1.8
00046,4.2
00047,0.4
00048,0.4
00049,1.8
00050,4.2
00051,0.8
00052,0.8
00053,6.4
00054,-0.19999999999999973
00055,-1.0
00056,0.8
00057,4.4
00058,3.0
00059,6.000000000000001
00060,1.4000000000000001
00061,0.4
00062,2.4000000000000004
00063,8.4
00064,-1.4
00065,1.8
00066,2.4000000000000004
00067,0.0
00068,1.4000000000000001
00069,3.0
00070,0.8
00071,2.4000000000000004
00072,1.4000000000000001
00073,-0.19999999999999996
00074,0.19999999999999996
00075,-0.3999999999999999
00076,1.4000000000000001
00077,1.4000000000000001
00078,-1.2000000000000002
00079,-3.6000000000000005
00080,2.0
00081,4.800000000000001
00082,0.8
00083,2.4000000000000004
00084,-0.6000000000000001
00085,1.4000000000000001
00086,1.8
00087,4.800000000000001
00088,7.0
00089,1.4000000000000001
00090,0.4
00091,3.0
00092,1.0
00093,1.8
00094,7.000000000000001
00095,-0.6000000000000001
00096,-0.19999999999999973
00097,1.0
00098,0.4
00099,0.0
00100,1.4000000000000001
00101,2.4000000000000004
00102,0.8
00103,2.4000000000000004
00104,2.0
00105,3.4000000000000004
00106,1.4000000000000001
00107,0.8
00108,0.4
00109,4.0
00110,1.4000000000000001
00111,-3.0
00112,1.8
00113,1.0
00114,8.600000000000001
00115,2.4000000000000004
00116,6.000000000000001
00117,8.4
00118,1.8
00119,-0.19999999999999996
00120,3.2
00121,0.0
00122,1.4000000000000001
00123,-2.5999999999999996
00124,1.4000000000000001
00125,1.0
00126,3.2
00127,-3.2000000000000006
00128,2.8000000000000003
00129,2.4000000000000004
00130,0.4
00131,1.8
00132,1.4000000000000001
00133,7.800000000000001
00134,1.2000000000000002
00135,1.4000000000000001
00136,7.4
00137,1.4000000000000001
00138,1.0
00139,3.8
00140,-0.19999999999999973
00143,-1.2000000000000006
00144,7.4
00145,3.8
00146,0.4
00147,7.800000000000001
00148,2.0
00149,6.4
00150,3.2
00151,2.4000000000000004
00152,1.4000000000000001
00153,3.4000000000000004
00154,-1.6000000000000005
00155,1.4000000000000001
00156,1.4000000000000001
00157,2.8000000000000003
00159,1.0
00160,7.4
00161,2.8000000000000003
00162,1.4000000000000001
00163,-1.6000000000000005
00164,5.4
00165,1.4000000000000001
00166,6.800000000000001
00167,-2.2
00168,1.4000000000000001
00169,2.8000000000000003
00170,2.8000000000000003
00171,0.4
00172,4.800000000000001
00173,1.4000000000000001
00175,8.4
00176,6.000000000000001
00177,2.4000000000000004
00178,4.4
00179,0.4
00180,2.0
00181,1.4000000000000001
00182,9.8
00183,0.4
00184,2.2
00185,2.0
00186,3.8
00187,3.8
00188,4.0
00189,7.4
00190,1.4000000000000001
00191,1.0
00192,0.8
