고객번호,패션잡화_하_구매지수
00001,2.4
00002,0.4
00003,0.0
00004,2.8000000000000003
00006,9.8
00007,3.2
00008,1.8
00009,-0.19999999999999973
00010,4.4
00011,11.400000000000002
00012,5.2
00013,2.4000000000000004
00014,0.6000000000000001
00015,3.4000000000000004
00016,-0.19999999999999973
00017,4.4
00018,-1.7999999999999998
00019,2.8000000000000003
00020,3.4000000000000004
00021,-4.2
00023,3.8
00024,2.8000000000000003
00025,1.4000000000000001
00026,4.2
00027,2.0
00028,2.4000000000000004
00029,-3.6000000000000005
00030,2.8000000000000003
00031,-0.3999999999999999
00032,4.800000000000001
00033,3.0
00034,-4.2
00035,1.8
00036,2.8000000000000003
00037,3.0
00038,-3.2000000000000006
00039,-2.2
00040,-2.8000000000000007
00041,-1.4000000000000004
00042,4.4
00043,-3.6000000000000005
00044,6.4
00045,3.8
00046,5.8
00047,-1.4000000000000004
00048,3.2
00049,4.800000000000001
00050,-1.4000000000000004
00051,-3.2000000000000006
00052,6.4
00053,2.8000000000000003
00054,2.4000000000000004
00055,-3.0
00056,3.2
00057,2.4000000000000004
00058,2.4000000000000004
00060,-0.8000000000000007
00061,-0.8000000000000007
00062,1.2000000000000002
00063,4.0
00064,0.0
00065,2.8000000000000003
00066,-1.6000000000000005
00067,7.800000000000001
00068,2.8000000000000003
00069,-3.6000000000000005
00070,2.0
00072,3.4000000000000004
00073,3.2
00074,1.2000000000000002
00075,8.8
00076,2.6000000000000005
00077,3.8
00078,3.6
00079,3.8000000000000007
00080,2.0
00081,0.4
00082,1.8
00083,5.8
00084,9.200000000000001
00085,-0.40000000000000036
00086,7.800000000000001
00087,8.4
00088,2.4000000000000004
00089,6.4
00090,5.2
00091,9.8
00092,0.8
00093,1.0
00094,7.4
00095,-3.2000000000000006
00096,-3.2000000000000006
00097,0.6000000000000001
00098,-1.8000000000000003
00099,3.2
00100,-1.8000000000000003
00101,-0.8000000000000007
00102,-1.4000000000000004
00103,5.2
00104,2.0
00105,-2.5999999999999996
00106,4.2
00107,8.8
00108,0.6000000000000001
00110,5.8
00111,7.4
00112,4.2
00113,6.800000000000001
00114,3.6
00115,7.000000000000001
00116,8.4
00117,2.8000000000000003
00118,7.800000000000001
00119,0.4
00120,7.800000000000001
00121,2.4000000000000004
00122,6.4
00123,-1.2000000000000006
00124,1.4000000000000001
00125,2.8000000000000003
00126,7.0
00127,-1.2000000000000006
00128,-2.5999999999999996
00129,4.4
00130,2.2
00131,0.8
00132,-2.5999999999999996
00133,5.2
00134,7.000000000000001
00135,2.4000000000000004
00136,2.8000000000000003
00137,-0.19999999999999996
00138,2.8000000000000003
00139,1.8
00140,-0.8000000000000007
00143,-1.2000000000000006
00144,8.0
00145,-0.19999999999999973
00146,5.2
00147,1.6
00149,9.8
00150,4.4
00151,2.0
00152,0.19999999999999996
00153,2.4000000000000004
00154,2.4000000000000004
00155,-0.19999999999999973
00156,1.6
00157,6.800000000000001
00158,7.800000000000001
00159,-1.2000000000000006
00160,0.4
00161,-0.3999999999999999
00162,2.4000000000000004
00163,7.4
00164,-3.2000000000000006
00165,4.6000000000000005
00166,0.4
00167,2.2
00168,2.4000000000000004
00169,2.8000000000000003
00170,2.8000000000000003
00171,0.0
00172,7.800000000000001
00173,0.8
00175,-0.19999999999999996
00176,8.0
00177,0.8
00178,4.4
00179,3.2
00180,-1.2000000000000006
00181,-1.0
00182,0.0
00183,2.4000000000000004
00184,0.4
00185,6.000000000000001
00186,-4.2
00187,-1.8000000000000003
00188,2.4000000000000004
00189,6.800000000000001
00190,-1.2000000000000006
00191,2.8000000000000003
00192,2.4000000000000004
00193,4.4
00194,0.19999999999999996
00195,2.4000000000000004
00196,0.8
00197,0.4
00198,-0.19999999999999996
00199,3.8000000000000007
00200,-3.8000000000000007
00201,0.8
00202,7.4
00203,8.4
00204,6.800000000000001
00205,-0.40000000000000036
00206,3.8000000000000007
00207,1.4000000000000001
00208,2.8000000000000003
00209,3.4000000000000004
00210,3.8
00211,4.6000000000000005
00212,-1.4000000000000004
00213,1.4000000000000001
00214,0.8
00215,5.4
00216,1.2000000000000002
00217,-3.2000000000000006
00218,4.6000000000000005
00219,-4.2
00220,8.4
00221,1.8
00222,1.2000000000000002
