고객번호,의류_상_구매지수
00001,0.4
00002,0.8
00004,2.8000000000000003
00006,0.4
00007,-0.19999999999999996
00008,-0.5999999999999996
00009,0.4
00010,-1.2000000000000006
00011,1.8
00012,2.4000000000000004
00013,2.4000000000000004
00014,0.8
00015,0.8
00016,2.4000000000000004
00017,6.2
00018,-4.800000000000001
00019,3.8
00020,2.4000000000000004
00021,6.4
00022,3.2
00023,-0.6000000000000001
00024,0.0
00025,1.8
00026,-1.2000000000000002
00027,-0.19999999999999996
00029,0.4
00030,1.4000000000000001
00031,2.4000000000000004
00032,2.4000000000000004
00033,2.0
00034,6.4
00035,1.8
00036,2.4000000000000004
00037,0.8
00038,-0.5999999999999996
00039,-0.19999999999999996
00040,-0.19999999999999996
00041,5.8
00042,0.0
00043,-1.2000000000000006
00044,1.2000000000000002
00045,0.8
00046,1.2000000000000002
00047,7.800000000000001
00048,0.8
00049,0.4
00050,2.8000000000000003
00051,3.0
00052,1.8
00053,0.4
00056,1.4000000000000001
00058,-0.6000000000000001
00059,0.4
00060,4.4
00061,2.8000000000000003
00062,1.4000000000000001
00063,2.0
00065,8.8
00066,5.4
00067,9.8
00068,0.0
00070,6.800000000000001
00072,-3.6000000000000005
00073,0.4
00074,-0.6000000000000001
00076,6.4
00077,1.4000000000000001
00078,2.8000000000000003
00079,4.0
00080,8.4
00081,-0.6000000000000001
00082,0.19999999999999996
00083,1.2000000000000002
00084,-0.19999999999999996
00085,5.4
00086,6.800000000000001
00087,2.4000000000000004
00088,-0.19999999999999996
00089,2.4000000000000004
00090,0.4
00091,2.4000000000000004
00092,2.8000000000000003
00093,0.4
00094,6.4
00095,2.4000000000000004
00096,-2.2
00097,-0.6000000000000001
00098,2.4000000000000004
00099,1.8
00100,2.4000000000000004
00101,-3.6000000000000005
00102,1.8
00104,5.4
00105,0.0
00106,-0.6000000000000001
00107,1.0
00108,6.000000000000001
00110,7.800000000000001
00112,0.8
00113,0.4
00114,7.800000000000001
00115,3.2
00116,6.000000000000001
00117,1.8
00118,0.4
00119,0.4
00120,0.4
00121,4.800000000000001
00122,3.2
00124,0.4
00125,0.4
00126,0.8
00127,2.4000000000000004
00130,0.4
00131,6.4
00132,0.0
00133,8.600000000000001
00134,-3.4000000000000004
00135,2.8000000000000003
00136,9.8
00137,0.8
00138,2.4000000000000004
00139,-2.8000000000000007
00140,-0.19999999999999996
00141,2.0
00144,2.8000000000000003
00145,0.4
00146,-0.8
00147,0.4
00149,-3.2000000000000006
00150,3.2
00151,2.2
00152,0.19999999999999996
00153,5.8
00154,-4.2
00155,0.4
00156,0.8
00157,5.4
00158,2.4000000000000004
00159,1.4000000000000001
00160,1.4000000000000001
00161,-0.19999999999999996
00162,0.4
00164,-0.19999999999999996
00165,0.8
00166,2.8000000000000003
00167,2.8000000000000003
00168,0.4
00169,1.4000000000000001
00171,1.6
00172,3.4000000000000004
00173,8.4
00175,2.4000000000000004
00177,-0.19999999999999996
00178,2.8000000000000003
00179,0.4
00180,2.4000000000000004
00181,0.4
00182,0.4
00184,1.8
00186,0.8
00187,-4.2
00189,0.8
00190,3.4000000000000004
00191,0.4
00192,6.4
00194,-0.6000000000000001
00196,0.4
00197,2.8000000000000003
00198,1.8
00199,7.800000000000001
00200,8.4
00201,-0.6000000000000001
00202,0.4
00204,0.4
00205,-0.8
00206,-0.5999999999999996
00208,0.8
00209,0.8
00211,8.4
00212,7.0
00213,5.8
00214,3.4000000000000004
00215,0.0
00216,2.4000000000000004
00217,0.0
00218,-0.6000000000000001
00219,0.0
00220,0.0
00221,2.4000000000000004
00222,0.19999999999999996
00223,7.000000000000001
00224,-0.6000000000000001
00225,-0.19999999999999996
00229,0.4
00230,8.8
00231,2.8000000000000003
00232,2.4000000000000004
00233,9.0
00234,8.4
00235,6.2
00237,-0.6000000000000001
00238,7.200000000000001
00239,0.4
00240,-1.2000000000000006
00241,0.8
00242,2.4000000000000004
00243,0.0
00245,2.8000000000000003
00246,1.0
00247,2.0
00248,1.6
00249,-0.6000000000000001
00250,0.4
00251,-0.19999999999999996
00252,2.4000000000000004
00253,7.4
00254,0.8
00255,0.0
00256,-0.8
00257,2.4000000000000004
00258,1.4000000000000001
00259,6.6000000000000005
00260,2.4000000000000004
00261,1.2000000000000002
00262,8.8
00263,0.0
00264,2.4000000000000004
00265,0.4
00266,0.8
00267,-0.19999999999999996
00268,-3.4000000000000004
00269,0.19999999999999996
00271,9.200000000000001
00272,0.8
00273,3.4000000000000004
00275,-1.2000000000000002
00276,2.4000000000000004
00277,9.8
00279,7.800000000000001
00280,0.4
00281,1.4000000000000001
00282,0.0
00283,-0.19999999999999996
00285,7.0
00286,12.600000000000001
00287,2.4000000000000004
00288,-3.6000000000000005
00289,2.4000000000000004
00292,0.4
00293,3.2
00294,5.2
00295,2.8000000000000003
00296,0.19999999999999996
00297,0.4
00298,1.4000000000000001
00299,4.0
00300,2.4000000000000004
00301,6.000000000000001
00302,0.4
00303,1.2000000000000002
00304,2.8000000000000003
00305,0.4
00306,0.4
00307,-0.19999999999999996
00308,2.4000000000000004
00309,9.200000000000001
00310,-1.4000000000000004
00311,2.0
00313,-0.6000000000000001
00314,-0.19999999999999996
00315,2.8000000000000003
00316,1.8
00317,1.8
00318,-3.2000000000000006
00319,0.8
00320,2.4000000000000004
00321,-1.2000000000000002
00322,2.4000000000000004
00323,0.8
00324,0.4
00325,0.4
00326,6.000000000000001
00327,-0.6000000000000001
00328,0.4
00329,1.2000000000000002
00331,7.4
00332,0.4
00333,7.4
00334,2.4000000000000004
00335,0.8
00336,1.8
00337,0.4
00338,6.000000000000001
00340,6.800000000000001
00341,0.8
00343,0.8
00344,-1.2000000000000002
00345,0.4
00346,2.4000000000000004
00347,0.6000000000000001
00349,-0.6000000000000001
00350,8.4
00351,0.8
00352,0.4
00355,0.4
00356,0.4
00357,2.4000000000000004
00358,7.4
00359,2.8000000000000003
00360,6.000000000000001
00361,-0.6000000000000001
00362,6.000000000000001
00363,0.6000000000000001
00364,8.8
00365,0.6000000000000001
00366,2.4000000000000004
00367,2.8000000000000003
00368,1.8
00369,0.0
00372,2.0
00373,9.0
00374,0.0
00375,0.4
00377,0.4
00378,-0.6000000000000001
00379,1.8
00380,2.4000000000000004
00381,4.4
00382,7.4
00383,0.8
00385,7.4
00386,-3.8000000000000007
00387,0.4
00388,-0.19999999999999996
00389,1.4000000000000001
00391,2.2
00392,8.4
00393,8.200000000000001
00394,-1.2000000000000006
00395,2.8000000000000003
00396,2.0
00397,2.4000000000000004
00398,0.8
00399,0.4
00400,-0.19999999999999996
00401,0.4
00402,-0.19999999999999996
00403,0.0
00404,1.4000000000000001
00405,0.4
00407,0.4
00408,0.0
00409,0.4
00411,-0.6000000000000001
00412,-0.19999999999999996
00413,0.8
00414,0.4
00415,2.0
00416,0.4
00417,2.4000000000000004
00419,-0.19999999999999996
00420,0.4
00421,-0.19999999999999996
00422,8.4
00423,-0.19999999999999996
00425,2.8000000000000003
00426,1.4000000000000001
00427,6.4
00428,2.8000000000000003
00429,-0.19999999999999996
00430,-0.6000000000000001
00431,6.800000000000001
00432,-3.2000000000000006
00433,0.0
00434,-0.19999999999999996
00435,0.8
00436,0.4
00437,6.000000000000001
00438,-0.6000000000000001
00440,-0.8
00441,-3.2000000000000006
00443,0.4
00444,4.0
00445,0.0
00446,0.0
00447,2.0
00448,-0.19999999999999996
00449,8.8
00450,0.8
00451,1.4000000000000001
00453,2.8000000000000003
00454,5.4
00455,0.8
00456,2.4000000000000004
