고객번호,패션잡화_하_방문지수
00001,0.19999999999999973
00002,3.0
00003,0.0
00004,2.6
00006,6.0
00007,2.2
00008,-0.3999999999999999
00009,0.19999999999999996
00010,1.2000000000000002
00011,3.2
00012,0.8
00013,1.2000000000000002
00014,1.2000000000000002
00015,2.2
00016,0.6000000000000001
00017,0.3999999999999999
00018,1.0
00019,0.19999999999999996
00020,1.2000000000000002
00021,-1.2000000000000002
00023,1.8
00024,0.8
00025,5.2
00026,1.2000000000000002
00027,0.4
00028,0.8
00029,-0.3999999999999999
00030,1.2000000000000002
00031,-0.20000000000000018
00032,1.2000000000000002
00033,2.6
00034,-2.0
00035,1.2000000000000002
00036,2.4000000000000004
00037,0.8
00038,0.0
00039,-0.19999999999999996
00040,-0.20000000000000018
00041,-0.6000000000000003
00042,1.6
00043,-0.6000000000000001
00044,2.6
00045,0.8
00046,1.8
00047,0.8000000000000003
00048,0.3999999999999999
00049,2.2
00050,-1.0
00051,-2.0
00052,2.2
00053,0.8
00054,0.8
00055,-0.6000000000000001
00056,2.6
00057,1.2000000000000002
00058,0.8
00060,0.0
00061,0.3999999999999999
00062,0.8000000000000003
00063,0.8
00064,0.0
00065,2.6
00066,-0.8
00067,2.2
00068,1.2000000000000002
00069,-0.6000000000000001
00070,0.4
00072,2.8000000000000003
00073,1.8
00074,3.6
00075,3.6
00076,1.0
00077,2.6
00078,1.6
00079,3.2
00080,0.4
00081,-0.6000000000000003
00082,1.6
00083,1.2000000000000002
00084,3.2
00085,-0.7999999999999998
00086,4.0
00087,2.4000000000000004
00088,0.8
00089,3.2
00090,3.6
00091,3.8000000000000007
00092,0.3999999999999999
00093,-0.20000000000000018
00094,4.800000000000001
00095,-1.6
00096,-0.3999999999999999
00097,-0.3999999999999999
00098,-0.8
00099,3.6
00100,-0.6000000000000003
00101,-1.6
00102,-0.7999999999999998
00103,1.2000000000000002
00104,0.4
00105,-0.19999999999999996
00106,0.8
00107,4.2
00108,0.8000000000000003
00110,0.3999999999999999
00111,1.4000000000000001
00112,3.2
00113,1.8
00114,1.8
00115,2.4000000000000004
00116,3.4000000000000004
00117,0.4
00118,2.6
00119,0.3999999999999999
00120,4.800000000000001
00121,1.2000000000000002
00122,2.6
00123,-2.5999999999999996
00124,2.8000000000000003
00125,0.8
00126,1.4000000000000001
00127,0.0
00128,-0.19999999999999996
00129,1.8
00130,-1.0000000000000002
00131,1.2000000000000002
00132,-1.8000000000000003
00133,1.2000000000000002
00134,4.0
00135,0.8
00136,1.6
00137,-1.4000000000000004
00138,2.2
00139,5.0
00140,-0.3999999999999999
00143,-1.2000000000000002
00144,3.4000000000000004
00145,-0.19999999999999996
00146,2.0
00147,2.2
00149,2.8000000000000003
00150,3.6
00151,1.2000000000000002
00152,0.0
00153,0.4
00154,0.4
00155,-0.8
