고객번호,의류_중_구매지수
00001,7.4
00002,-1.2000000000000006
00004,6.000000000000001
00006,-3.6000000000000005
00007,-1.8000000000000003
00008,6.4
00009,-0.6000000000000001
00010,5.2
00011,11.8
00013,2.4000000000000004
00014,-1.2000000000000006
00015,7.4
00016,0.0
00018,2.4000000000000004
00019,6.000000000000001
00020,4.800000000000001
00023,8.4
00024,2.4000000000000004
00026,-3.8000000000000007
00027,2.4000000000000004
00029,3.4000000000000004
00030,8.4
00031,2.0
00034,-3.6000000000000005
00035,5.2
00036,2.0
00038,2.0
00040,7.4
00041,2.4000000000000004
00044,2.8000000000000003
00045,7.4
00046,0.0
00047,8.4
00049,0.0
00050,8.4
00051,-3.2000000000000006
00052,-1.2000000000000006
00053,2.0
00054,2.4000000000000004
00056,-0.8000000000000007
00057,2.4000000000000004
00058,2.8000000000000003
00059,0.0
00060,7.4
00061,-3.6000000000000005
00062,6.000000000000001
00065,2.4000000000000004
00066,1.8
00068,3.4000000000000004
00070,2.0
00073,-4.4
00074,-0.19999999999999996
00076,6.800000000000001
00078,5.6000000000000005
00081,11.0
00082,6.000000000000001
00083,2.8000000000000003
00084,0.4
00085,0.0
00086,8.4
00087,9.4
00089,-0.8000000000000007
00090,2.0
00092,6.4
00093,-3.8000000000000007
00094,7.000000000000001
00095,2.4000000000000004
00096,0.0
00097,6.000000000000001
00098,4.4
00099,9.8
00100,12.200000000000001
00102,6.000000000000001
00103,-0.5999999999999996
00105,2.8000000000000003
00106,11.400000000000002
00107,3.8
00108,2.4000000000000004
00110,5.2
00112,9.8
00113,0.8
00114,5.2
00115,2.8000000000000003
00118,-3.8000000000000007
00119,1.4000000000000001
00120,-1.4000000000000004
00121,6.000000000000001
00122,4.4
00124,4.2
00125,2.4000000000000004
00126,2.2
00127,2.4000000000000004
00130,6.4
00131,9.4
00132,2.4000000000000004
00133,4.800000000000001
00134,2.4000000000000004
00136,9.8
00137,2.0
00138,7.4
00139,2.0
00145,2.8000000000000003
00146,5.2
00147,1.4000000000000001
00148,2.4000000000000004
00150,0.0
00151,7.4
00152,2.2
00153,7.000000000000001
00154,2.0
00155,7.4
00156,4.2
00157,10.400000000000002
00158,0.0
00159,-0.19999999999999996
00160,2.4000000000000004
00161,5.6000000000000005
00162,5.2
00163,0.0
00164,4.4
00165,1.4000000000000001
00166,3.4000000000000004
00167,2.4000000000000004
00168,8.8
00171,3.4000000000000004
00172,8.4
00177,0.0
00178,-1.8000000000000003
00179,8.4
00180,6.000000000000001
00181,4.800000000000001
00182,2.4000000000000004
00184,3.8
00186,2.8000000000000003
00188,0.0
00189,6.4
00190,8.8
00191,2.8000000000000003
00192,2.4000000000000004
00194,8.0
00196,3.8
00197,3.8
00198,6.800000000000001
00199,5.2
00200,6.000000000000001
00201,3.8
00202,3.8
00204,2.4000000000000004
00205,5.0
00206,7.4
