고객번호,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의약품/의료기기_구매지수,교육/문화용품_구매지수,외식_구매지수,기타_구매지수,디지털/가전_구매지수,가구/인테리어_구매지수,의류_구매지수,전문스포츠/레저_구매지수,패션잡화_구매지수,유아동_구매지수,명품_구매지수
00001,1.8,1.0,2.6,6.0,0.0,1.8,0.0,14.4,16.2,1.8,0.0,2.6,11.200000000000001,10.8
00002,1.8,0.0,3.6,7.0,0.0,0.8,0.0,19.2,16.400000000000002,3.6,0.0,0.8,20.2,12.6
00003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0
00004,0.0,0.0,1.8,13.8,0.0,2.8000000000000003,0.0,0.0,12.6,2.8000000000000003,0.0,10.600000000000001,15.0,0.0
00006,0.0,1.8,1.0,0.0,0.0,2.8000000000000003,0.0,0.0,23.400000000000002,1.8,9.0,16.8,3.2,14.0
00007,0.0,0.0,3.8000000000000003,9.6,5.800000000000001,0.0,0.0,10.8,18.6,2.6,21.6,3.4,18.0,14.4
00008,1.0,0.0,0.0,0.0,9.0,1.8,0.0,5.4,10.8,2.8000000000000003,0.0,10.8,9.0,5.0
00009,2.8000000000000003,3.8000000000000003,11.600000000000001,0.0,0.0,13.6,0.0,16.2,9.8,1.8,6.0,11.0,0.0,12.6
00010,2.8000000000000003,0.0,1.0,3.6,4.0,4.6,0.0,0.0,15.0,11.600000000000001,0.0,17.200000000000003,0.0,10.8
00011,1.8,2.6,1.0,4.800000000000001,14.8,1.8,15.6,7.6,11.000000000000002,12.6,9.0,18.0,13.6,17.4
00012,1.8,1.8,1.0,0.0,0.0,18.0,0.0,0.0,4.0,21.6,0.0,19.8,0.0,0.0
00013,1.0,0.0,1.0,12.6,14.0,1.8,13.0,0.0,4.0,11.600000000000001,4.0,10.8,7.2,0.0
00014,0.0,1.8,2.6,15.6,0.0,5.6000000000000005,23.400000000000002,12.6,11.600000000000001,1.8,6.0,0.8,4.0,7.0
00015,0.0,2.6,0.0,16.2,4.0,1.8,0.0,0.0,9.0,3.6,13.8,13.6,0.0,0.0
00016,1.0,1.0,7.800000000000001,0.0,6.0,11.8,0.0,6.0,0.0,19.8,0.0,13.0,6.0,5.0
00017,3.8000000000000003,5.4,7.2,7.800000000000001,0.0,3.6,0.0,15.8,18.2,6.2,0.0,1.8,0.0,21.4
00018,0.0,1.8,2.8000000000000003,0.0,0.0,1.8,0.0,5.6,14.4,6.4,21.6,8.2,19.8,10.8
00019,0.0,0.0,2.8000000000000003,0.0,0.0,2.6,0.0,0.0,0.0,4.6,13.0,11.600000000000001,0.0,16.8
00020,2.8000000000000003,0.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,12.6,11.600000000000001,18.0,10.8,7.2,0.0
00021,2.8000000000000003,0.0,0.0,0.0,2.8000000000000003,0.0,0.0,5.6,26.6,9.6,27.6,9.8,3.8000000000000003,0.0
00022,0.0,0.8,10.0,0.0,0.0,2.8000000000000003,0.0,10.8,0.0,10.8,0.0,27.6,0.0,0.8
00023,1.8,2.6,4.6,0.0,9.0,1.8,0.0,4.800000000000001,12.6,0.8,14.4,1.8,9.0,14.4
00024,1.8,0.0,1.0,0.0,0.0,18.6,0.0,0.0,18.8,9.4,3.4,10.8,7.2,10.8
00025,2.6,1.8,4.6,4.0,0.0,1.8,0.0,0.0,0.0,4.6,0.0,2.8000000000000003,0.0,13.6
00026,2.8000000000000003,1.8,3.6,9.0,14.8,0.0,0.0,9.6,9.8,0.8,10.8,4.6,13.0,0.8
00027,1.8,1.8,7.3999999999999995,0.0,0.0,1.8,0.0,0.0,6.0,1.8,0.0,10.8,8.0,13.4
00028,0.0,4.6,1.0,0.0,7.2,9.0,0.0,0.0,0.0,12.2,0.0,10.8,0.0,0.0
00029,2.8000000000000003,0.0,1.8,12.6,0.0,1.8,0.0,12.4,5.6,1.8,0.0,0.0,12.799999999999999,22.200000000000003
00030,0.0,0.0,2.8000000000000003,0.0,7.2,1.0,0.0,9.0,10.6,2.8000000000000003,0.0,2.8000000000000003,0.0,21.4
00031,0.0,0.0,1.0,0.0,0.0,2.8000000000000003,0.0,9.0,10.8,1.0,0.0,4.2,3.6,0.0
00032,1.8,1.0,4.6,6.0,4.0,1.0,0.0,0.0,0.0,19.8,5.0,19.8,5.0,0.0
00033,0.0,1.8,1.8,11.8,0.0,9.8,0.0,0.0,14.8,20.2,4.0,8.2,4.0,0.0
00034,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.8,2.8000000000000003,0.0,6.6,0.0,0.0
00035,2.8000000000000003,0.0,2.8000000000000003,0.0,0.0,2.8000000000000003,0.0,10.8,10.8,1.8,6.8,2.6,0.0,12.6
00036,2.8000000000000003,1.0,4.6,7.2,0.0,1.0,0.0,15.4,12.4,15.8,0.0,8.6,17.8,0.0
00037,2.8000000000000003,1.8,4.8,0.0,0.0,2.0,0.0,6.0,0.0,1.8,0.0,4.6,18.0,10.8
00038,1.0,1.8,1.0,7.2,14.8,1.0,0.0,5.800000000000001,12.6,4.4,9.8,1.8,3.8000000000000003,0.0
00039,0.0,0.0,6.6,0.0,0.0,1.0,0.0,0.0,4.800000000000001,2.6,0.0,12.8,9.0,12.6
