고객번호,가공식품_방문지수,신선식품_방문지수,일상용품_방문지수,의약품/의료기기_방문지수,교육/문화용품_방문지수,외식_방문지수,기타_방문지수,디지털/가전_방문지수,가구/인테리어_방문지수,의류_방문지수,전문스포츠/레저_방문지수,패션잡화_방문지수,유아동_방문지수,명품_방문지수
00001,2.8000000000000003,1.8,5.2,1.0,0.0,2.8000000000000003,0.0,9.0,10.0,3.6,0.0,8.8,2.6,1.8
00002,1.6,0.8,1.0,2.0,0.0,2.8000000000000003,0.0,8.8,7.6,8.0,0.0,4.6,9.8,7.2
00003,1.8,2.6,3.6,0.0,0.0,0.0,0.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0
00004,3.6,1.8,1.0,2.6,0.0,7.2,0.0,0.0,3.6,6.3999999999999995,0.0,5.4,2.8000000000000003,0.0
00006,3.6,4.4,1.6,0.0,0.0,2.6,0.0,0.0,9.0,6.6,1.8,10.200000000000001,0.8,4.6
00007,1.8,0.8,5.6000000000000005,5.6000000000000005,6.3999999999999995,2.8000000000000003,0.0,3.6,8.2,1.8,3.6,2.6,5.4,7.2
00008,2.8000000000000003,0.0,1.0,0.0,1.8,3.6,0.0,3.6,1.8,5.6000000000000005,0.0,5.4,5.4,2.8000000000000003
00009,4.6,2.0,5.800000000000001,0.0,0.0,8.2,0.0,9.2,3.8000000000000003,3.8000000000000003,2.0,5.6000000000000005,0.0,7.2
00010,1.8,0.8,1.8,3.6,0.8,5.4,0.0,0.0,3.8000000000000003,9.0,0.0,6.3999999999999995,0.0,3.6
00011,2.6,5.2,2.6,0.8,4.4,5.4,4.4,3.4,5.0,11.8,1.8,6.3999999999999995,4.6,4.4
00012,3.6,3.6,4.6,0.0,0.0,5.4,0.0,0.0,0.8,7.2,0.0,3.6,0.0,0.0
00013,2.8000000000000003,1.8,3.6,1.8,6.6,5.4,2.6,0.0,0.8,6.2,0.8,5.4,1.8,0.0
00014,1.8,0.8,4.4,2.6,0.0,5.6000000000000005,3.6,3.6,5.2,4.6,1.0,5.6000000000000005,1.6,2.0
00015,1.8,0.8,1.8,3.6,1.0,4.6,0.0,0.0,3.6,7.2,3.4,7.2,0.0,0.0
00016,1.0,3.6,6.6,0.0,1.0,5.6000000000000005,0.0,1.0,0.0,9.0,0.0,6.2,2.0,1.0
00017,4.6,8.2,6.3999999999999995,2.0,0.0,7.2,0.0,2.8000000000000003,3.6,4.4,0.0,5.4,0.0,9.2
00018,3.4,3.6,3.4,0.0,0.0,4.4,0.0,1.6,1.8,6.4,3.6,6.8,3.6,3.6
00019,2.6,5.4,1.8,0.0,0.0,4.4,0.0,0.0,0.0,9.2,2.8000000000000003,2.6,0.0,3.8000000000000003
00020,2.6,2.6,2.6,0.0,0.0,3.6,0.0,0.0,1.8,5.4,3.6,5.4,1.8,0.0
00021,1.8,2.0,2.8000000000000003,0.0,6.3999999999999995,0.0,0.0,0.8,8.2,5.800000000000001,7.4,2.6,7.4,0.0
00022,0.0,3.4,4.6,0.0,0.0,8.2,0.0,3.6,0.0,3.6,0.0,4.6,0.0,7.2
00023,2.6,3.4,5.4,0.0,3.6,6.2,0.0,0.8,1.8,6.3999999999999995,1.8,4.6,1.8,9.0
00024,0.8,3.6,2.8000000000000003,0.0,0.0,2.8000000000000003,0.0,0.0,3.6,10.0,1.6,5.4,3.6,5.4
00025,4.6,1.8,5.4,0.8,0.0,3.6,0.0,0.0,0.0,9.4,0.0,7.4,0.0,9.2
00026,2.8000000000000003,4.6,5.4,1.8,7.0,3.6,0.0,5.6000000000000005,5.800000000000001,1.6,3.6,8.2,2.6,6.0
00027,1.8,1.8,8.0,0.0,0.0,3.6,0.0,0.0,1.0,3.6,0.0,5.4,3.0,7.0
00028,3.6,3.6,6.3999999999999995,0.0,1.8,2.6,0.0,0.0,0.0,6.0,0.0,3.6,0.0,0.0
00029,2.8000000000000003,2.8000000000000003,4.4,1.8,0.0,3.6,0.0,3.6,3.2,3.8000000000000003,0.0,5.4,7.4,11.8
00030,2.8000000000000003,0.0,1.8,0.0,1.8,5.6000000000000005,0.0,1.8,5.6000000000000005,1.8,0.0,6.3999999999999995,0.0,11.0
00031,1.0,1.8,3.6,0.0,0.0,4.6,0.0,1.8,3.6,6.6,0.0,7.8,0.8,0.0
00032,0.0,1.0,5.4,1.0,0.8,2.8000000000000003,0.0,0.0,0.0,5.4,1.0,7.2,2.6,0.0
00033,1.8,0.0,3.4,4.6,0.0,1.8,0.0,0.0,6.2,4.6,0.8,7.4,1.0,0.0
00034,4.4,3.6,2.6,0.0,0.0,3.6,0.0,0.0,7.2,7.4,0.0,6.0,0.0,0.0
00035,2.8000000000000003,1.8,4.6,0.0,0.0,3.8000000000000003,0.0,1.8,3.6,1.0,4.6,4.4,0.0,7.2
